prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,17.079
0,0,1,32,17.0033
0,0,1,64,16.8967
0,0,1,128,25.4733
0,0,1,256,25.952
0,0,1,512,26.7203
0,0,1,1024,27.8207
0,0,1,2048,31.0943
0,0,1,4096,42.3383
0,0,1,8192,50.0603
0,0,1,16384,63.9283
0,0,1,32768,98.4573
0,0,1,40960,101.06
0,0,2,16,27.3407
0,0,2,32,27.3823
0,0,2,64,27.3607
0,0,2,128,33.4093
0,0,2,256,33.9853
0,0,2,512,34.9443
0,0,2,1024,37.4523
0,0,2,2048,46.8187
0,0,2,4096,55.4473
0,0,2,8192,67.7897
0,0,2,16384,95.5137
0,0,2,32768,142.182
0,0,2,40960,168.135
0,0,4,16,27.83
0,0,4,32,27.7237
0,0,4,64,27.724
0,0,4,128,33.3977
0,0,4,256,34.135
0,0,4,512,35.9367
0,0,4,1024,43.7457
0,0,4,2048,52.503
0,0,4,4096,65.261
0,0,4,8192,90.297
0,0,4,16384,139.484
0,0,4,32768,232.276
0,0,4,40960,278.39
0,0,8,16,28.2243
0,0,8,32,28.246
0,0,8,64,28.3203
0,0,8,128,34.123
0,0,8,256,36.0553
0,0,8,512,43.5217
0,0,8,1024,53.058
0,0,8,2048,65.335
0,0,8,4096,91.0757
0,0,8,8192,138.097
0,0,8,16384,230.837
0,0,8,32768,418.236
0,0,8,40960,513.555
0,0,16,16,30.4337
0,0,16,32,30.4437
0,0,16,64,30.4547
0,0,16,128,40.9833
0,0,16,256,45.3777
0,0,16,512,54.871
0,0,16,1024,66.7547
0,0,16,2048,92.761
0,0,16,4096,138
0,0,16,8192,233.705
0,0,16,16384,423.014
0,0,16,32768,818.198
0,0,16,40960,996.402
0,0,32,16,34.487
0,0,32,32,34.5297
0,0,32,64,36.1833
0,0,32,128,43.245
0,0,32,256,57.0687
0,0,32,512,72.942
0,0,32,1024,97.7313
0,0,32,2048,147.452
0,0,32,4096,236.926
0,0,32,8192,423.931
0,0,32,16384,811.115
0,0,32,32768,1567.46
0,0,32,40960,1942.33
0,0,64,16,40.7483
0,0,64,32,41.7193
0,0,64,64,44.588
0,0,64,128,57.5803
0,0,64,256,75.0643
0,0,64,512,108.122
0,0,64,1024,169.778
0,0,64,2048,293.856
0,0,64,4096,545.983
0,0,64,8192,1057.18
0,0,64,16384,2070.81
0,0,64,32768,4086.51
0,0,64,40960,5108.45
0,0,128,16,53.474
0,0,128,32,55.4363
0,0,128,64,57.0263
0,0,128,128,78.3077
0,0,128,256,105.039
0,0,128,512,157.766
0,0,128,1024,257.63
0,0,128,2048,458.363
0,0,128,4096,872.651
0,0,128,8192,1695.05
0,0,128,16384,3347.49
0,0,128,32768,6646.29
0,0,128,40960,8280.59
0,0,256,16,82.8837
0,0,256,32,84.013
0,0,256,64,88.8883
0,0,256,128,123.866
0,0,256,256,171.868
0,0,256,512,266.676
0,0,256,1024,445.861
0,0,256,2048,825.033
0,0,256,4096,1574.87
0,0,256,8192,3076.65
0,0,256,16384,6081.09
0,0,256,32768,12110.8
0,0,256,40960,15118.8
16,0,0,0,17.3017
16,0,1,16,17.2807
16,0,1,32,17.398
16,0,1,64,17.398
16,0,1,128,20.2243
16,0,1,256,24.1827
16,0,1,512,31.9157
16,0,1,1024,47.6813
16,0,1,2048,78.957
16,0,1,4096,141.551
16,0,1,8192,267.465
16,0,1,16384,522.63
16,0,1,32768,1029.94
16,0,1,40960,1282.13
16,0,2,16,17.6537
16,0,2,32,17.6533
16,0,2,64,17.707
16,0,2,128,20.5337
16,0,2,256,24.492
16,0,2,512,32.3743
16,0,2,1024,48.2467
16,0,2,2048,79.8957
16,0,2,4096,142.81
16,0,2,8192,270.078
16,0,2,16384,524.764
16,0,2,32768,1032.09
16,0,2,40960,1287.33
16,0,4,16,19.3493
16,0,4,32,19.3607
16,0,4,64,19.6803
16,0,4,128,25.8887
16,0,4,256,32.8223
16,0,4,512,44.7903
16,0,4,1024,69.0907
16,0,4,2048,117.913
16,0,4,4096,214.887
16,0,4,8192,411.768
16,0,4,16384,808.655
16,0,4,32768,1601.52
16,0,4,40960,1981.56
16,0,8,16,30.284
16,0,8,32,30.209
16,0,8,64,31.0517
16,0,8,128,38.4657
16,0,8,256,48.7587
16,0,8,512,70.9467
16,0,8,1024,110.361
16,0,8,2048,186.769
16,0,8,4096,361.878
16,0,8,8192,698.603
16,0,8,16384,1450.92
16,0,8,32768,2563.9
16,0,8,40960,3186.04
16,0,16,16,39.0943
16,0,16,32,39.3613
16,0,16,64,39.8413
16,0,16,128,54.2637
16,0,16,256,70.53
16,0,16,512,103.075
16,0,16,1024,165.53
16,0,16,2048,294.164
16,0,16,4096,547.195
16,0,16,8192,1054.96
16,0,16,16384,2079.66
16,0,16,32768,4152.59
16,0,16,40960,5205.64
16,0,32,16,58.3807
16,0,32,32,58.3273
16,0,32,64,59.17
16,0,32,128,87.982
16,0,32,256,120.494
16,0,32,512,181.51
16,0,32,1024,302.068
16,0,32,2048,546.611
16,0,32,4096,1039.63
16,0,32,8192,2047.47
16,0,32,16384,4409.85
16,0,32,32768,9636.43
16,0,32,40960,12253.6
16,0,64,16,101.081
16,0,64,32,100.995
16,0,64,64,101.657
16,0,64,128,160.165
16,0,64,256,222.631
16,0,64,512,337.685
16,0,64,1024,578.567
16,0,64,2048,1130.03
16,0,64,4096,2539.47
16,0,64,8192,5440.52
16,0,64,16384,11203.8
16,0,64,32768,22939.8
16,0,64,40960,28801.4
16,0,128,16,185.307
16,0,128,32,184.475
16,0,128,64,185.648
16,0,128,128,302.121
16,0,128,256,430.039
16,0,128,512,681.534
16,0,128,1024,1423.58
16,0,128,2048,2887.8
16,0,128,4096,5812.12
16,0,128,8192,11740.1
16,0,128,16384,23585.4
16,0,128,32768,47187.4
16,0,128,40960,59058.2
16,16,0,0,17.4617
16,16,1,16,17.4297
16,16,1,32,17.5153
16,16,1,64,17.5687
16,16,1,128,20.299
16,16,1,256,24.2033
16,16,1,512,31.9473
16,16,1,1024,47.6173
16,16,1,2048,79.0743
16,16,1,4096,141.712
16,16,1,8192,267.528
16,16,1,16384,522.415
16,16,1,32768,1028.12
16,16,1,40960,1280.99
16,16,2,16,17.8887
16,16,2,32,17.6967
16,16,2,64,17.952
16,16,2,128,20.5233
16,16,2,256,24.502
16,16,2,512,32.491
16,16,2,1024,48.236
16,16,2,2048,79.8953
16,16,2,4096,143.044
16,16,2,8192,270.077
16,16,2,16384,524.847
16,16,2,32768,1032.79
16,16,2,40960,1288.07
16,16,4,16,19.3177
16,16,4,32,19.2003
16,16,4,64,19.7123
16,16,4,128,25.8037
16,16,4,256,32.6837
16,16,4,512,44.6307
16,16,4,1024,69.4207
16,16,4,2048,117.934
16,16,4,4096,215.941
16,16,4,8192,411.638
16,16,4,16384,807.958
16,16,4,32768,1599.7
16,16,4,40960,1986.78
16,16,8,16,30.273
16,16,8,32,30.3583
16,16,8,64,30.8167
16,16,8,128,37.9637
16,16,8,256,48.631
16,16,8,512,71.3407
16,16,8,1024,109.976
16,16,8,2048,188.57
16,16,8,4096,344.137
16,16,8,8192,698.92
16,16,8,16384,1295.31
16,16,8,32768,2564.46
16,16,8,40960,3383.89
16,16,16,16,39.0947
16,16,16,32,39.51
16,16,16,64,39.8093
16,16,16,128,53.8247
16,16,16,256,70.487
16,16,16,512,103.128
16,16,16,1024,165.604
16,16,16,2048,293.512
16,16,16,4096,547.908
16,16,16,8192,1059.53
16,16,16,16384,2080.51
16,16,16,32768,4156.49
16,16,16,40960,5256.8
16,16,32,16,58.1887
16,16,32,32,58.1663
16,16,32,64,59.0627
16,16,32,128,88.1627
16,16,32,256,121.336
16,16,32,512,180.421
16,16,32,1024,301.907
16,16,32,2048,545.102
16,16,32,4096,1038.56
16,16,32,8192,2050.84
16,16,32,16384,4454.07
16,16,32,32768,9708.14
16,16,32,40960,12302
16,16,64,16,100.984
16,16,64,32,100.92
16,16,64,64,102.168
16,16,64,128,159.727
16,16,64,256,223.398
16,16,64,512,336.852
16,16,64,1024,579.14
16,16,64,2048,1133.8
16,16,64,4096,2534.06
16,16,64,8192,5414.87
16,16,64,16384,11188.3
16,16,64,32768,22982.3
16,16,64,40960,28770.4
16,16,128,16,185.36
16,16,128,32,184.645
16,16,128,64,186.095
16,16,128,128,301.864
16,16,128,256,428.811
16,16,128,512,681.35
16,16,128,1024,1422.2
16,16,128,2048,2893.27
16,16,128,4096,5802.13
16,16,128,8192,11762.2
16,16,128,16384,23578.4
16,16,128,32768,47213.7
16,16,128,40960,59071.7
16,32,0,0,17.643
16,32,1,16,17.59
16,32,1,32,17.5797
16,32,1,64,17.6533
16,32,1,128,20.2887
