regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,102.112,104.861,104.35,0.8141
pure,2,1,0.5,4.0,0,0,512,2048,1280,117.853,140.287,132.414,0.6491
pure,2,1,0.5,4.0,0,0,2048,8192,5120,175.997,203.548,173.695,-0.0836
pure,2,1,0.5,4.0,0,0,8192,32768,20480,312.697,431.575,333.625,0.176
mixed,2,1,0.5,4.0,16,0,128,512,320,74.781,97.214,96.127,0.9515
mixed,2,1,0.5,4.0,16,0,512,2048,1280,168.474,240.155,236.282,0.946
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,525.237,811.149,807.759,0.9881
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,1955.826,3098.27,3098.269,1.0
mixed,2,1,0.5,4.0,16,512,128,512,320,98.623,99.742,98.237,-0.345
mixed,2,1,0.5,4.0,16,512,512,2048,1280,169.117,241.209,237.337,0.9463
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,525.333,810.224,808.72,0.9947
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,1957.593,3098.081,3096.222,0.9984
mixed,2,1,0.5,4.0,16,2048,128,512,320,239.58,240.286,239.737,0.2224
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,243.099,244.988,242.14,-0.5077
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,527.669,814.737,808.88,0.9796
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,1961.815,3100.698,3099.582,0.999
mixed,2,1,0.5,4.0,16,8192,128,512,320,808.559,809.363,810.0,1.7923
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,814.033,811.152,811.599,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,814.446,816.912,814.352,-0.0381
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,1962.617,3102.272,3099.648,0.9977
mixed,2,1,0.5,4.0,16,20480,128,512,320,1955.32,1958.359,1955.096,-0.0737
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,1959.194,1957.817,1957.401,
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,1958.713,1959.738,1959.033,0.3122
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,1966.491,3107.552,3099.714,0.9931
mixed,2,1,0.5,4.0,64,0,128,512,320,76.511,98.11,97.309,0.9629
mixed,2,1,0.5,4.0,64,0,512,2048,1280,170.139,241.498,239.674,0.9744
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,527.862,812.113,810.641,0.9948
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,1956.859,3103.171,3099.044,0.9964
mixed,2,1,0.5,4.0,64,512,128,512,320,101.597,102.75,101.694,0.0841
mixed,2,1,0.5,4.0,64,512,512,2048,1280,171.069,242.588,239.196,0.9526
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,527.797,812.112,808.305,0.9866
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,1959.129,3104.741,3099.46,0.9954
mixed,2,1,0.5,4.0,64,2048,128,512,320,243.836,243.292,243.642,
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,244.796,246.617,244.028,-0.4217
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,529.463,813.744,811.984,0.9938
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,1959.352,3102.828,3099.717,0.9973
mixed,2,1,0.5,4.0,64,8192,128,512,320,813.873,813.229,812.401,
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,816.657,813.552,815.056,
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,816.017,821.04,815.855,-0.0323
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,1960.566,3105.635,3099.236,0.9944
mixed,2,1,0.5,4.0,64,20480,128,512,320,1957.725,1959.701,1957.851,0.0638
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,1959.419,1958.522,1957.307,
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,1961.34,1961.338,1961.148,
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,1967.259,3109.189,3105.926,0.9971
mixed,2,1,0.5,4.0,256,0,128,512,320,112.477,144.669,142.429,0.9304
mixed,2,1,0.5,4.0,256,0,512,2048,1280,254.108,361.082,352.186,0.9168
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,793.2,1227.24,1197.128,0.9306
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,3011.944,4768.168,4620.907,0.9161
mixed,2,1,0.5,4.0,256,512,128,512,320,169.435,168.061,167.134,
mixed,2,1,0.5,4.0,256,512,512,2048,1280,257.148,361.496,355.706,0.9445
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,795.538,1229.45,1201.355,0.9353
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,3006.986,4773.384,4598.764,0.9011
mixed,2,1,0.5,4.0,256,2048,128,512,320,383.77,381.848,381.304,
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,382.522,386.906,383.002,0.1095
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,800.176,1236.615,1205.099,0.9278
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,2994.153,4789.483,4596.876,0.8927
mixed,2,1,0.5,4.0,256,8192,128,512,320,1232.713,1230.441,1231.212,
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1231.978,1230.634,1229.801,
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,1234.889,1267.883,1253.737,0.5713
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2997.324,4777.835,4617.903,0.9102
mixed,2,1,0.5,4.0,256,20480,128,512,320,2938.059,2938.187,2937.836,-1.7422
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2932.234,2932.555,2938.794,20.4361
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2937.068,2942.154,2928.747,-1.6361
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,3047.531,4752.78,4626.351,0.9259
mixed,2,1,0.5,4.0,1024,0,128,512,320,397.562,407.8,392.889,-0.4564
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,471.543,544.28,526.868,0.7606
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,1011.501,1410.658,1252.105,0.6028
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3171.659,4921.612,4800.246,0.9306
mixed,2,1,0.5,4.0,1024,512,128,512,320,602.645,616.213,592.054,-0.7806
