layer,tokens,time_us
embedding,1,7.68
embedding,2,7.894
embedding,3,8.33067
embedding,4,8.928
embedding,5,9.249
embedding,6,9.68567
embedding,7,10.0593
embedding,8,10.2723
embedding,9,11.062
embedding,10,11.478
embedding,11,11.8407
embedding,12,12.427
embedding,13,12.8323
embedding,14,13.2707
embedding,15,13.654
embedding,16,13.8563
embedding,20,6.02667
embedding,24,5.824
embedding,28,6.027
embedding,32,5.77133
embedding,36,5.984
embedding,40,5.81333
embedding,44,6.059
embedding,48,5.83467
embedding,52,6.00533
embedding,56,5.87767
embedding,60,6.037
embedding,64,5.90933
embedding,80,6.09067
embedding,96,6.17633
embedding,112,6.56
embedding,128,6.61367
embedding,144,6.891
embedding,160,6.84833
embedding,176,6.44333
embedding,192,6.42167
embedding,208,6.51833
embedding,224,6.49633
embedding,240,6.795
embedding,256,6.891
embedding,272,7.04033
embedding,288,7.10433
embedding,304,7.12533
embedding,320,7.12533
embedding,336,7.17867
embedding,352,7.243
embedding,368,7.499
embedding,384,7.488
embedding,400,7.74433
embedding,416,7.798
embedding,432,7.80833
embedding,448,7.91467
embedding,464,7.94733
embedding,480,7.92533
embedding,496,8.17067
embedding,512,8.11767
embedding,528,8.406
embedding,544,8.395
embedding,560,8.523
embedding,576,8.51333
embedding,592,8.50167
embedding,608,8.49133
embedding,624,8.52267
embedding,640,8.57667
embedding,656,8.42667
embedding,672,8.59733
embedding,688,8.544
embedding,704,8.64033
embedding,720,8.60867
embedding,736,8.61867
embedding,752,8.843
embedding,768,8.85367
embedding,784,8.98167
embedding,800,8.86467
embedding,816,8.94933
embedding,832,8.99267
embedding,848,9.03467
embedding,864,9.02467
embedding,880,9.17367
embedding,896,9.376
embedding,912,10.1227
embedding,928,10.123
embedding,944,10.2083
embedding,960,10.176
embedding,976,10.24
embedding,992,10.3157
embedding,1008,10.465
embedding,1024,10.464
embedding,1040,10.6567
embedding,1056,10.5493
embedding,1072,10.6787
embedding,1088,10.625
embedding,1104,10.7307
embedding,1120,10.7097
embedding,1136,10.731
embedding,1152,10.742
embedding,1168,10.5713
embedding,1184,10.6357
embedding,1200,10.7207
embedding,1216,10.689
embedding,1232,10.7417
embedding,1248,10.6137
embedding,1264,11.061
embedding,1280,10.9763
embedding,1296,10.87
embedding,1312,10.9237
embedding,1328,10.9547
embedding,1344,10.9557
embedding,1360,10.9867
embedding,1376,11.0833
embedding,1392,11.03
embedding,1408,11.1687
embedding,1424,11.1153
embedding,1440,11.286
embedding,1456,11.1897
embedding,1472,11.2213
embedding,1488,11.318
embedding,1504,11.2537
embedding,1520,11.296
embedding,1536,11.3497
embedding,1552,11.67
embedding,1568,11.6483
embedding,1584,11.7227
embedding,1600,11.691
embedding,1616,11.787
embedding,1632,11.8727
embedding,1648,11.7447
embedding,1664,11.819
embedding,1680,11.6373
embedding,1696,11.691
embedding,1712,11.734
embedding,1728,11.734
embedding,1744,11.8407
embedding,1760,11.873
embedding,1776,12.0963
embedding,1792,12.3417
embedding,1808,11.9683
embedding,1824,12.1817
embedding,1840,12.2027
embedding,1856,12.1607
embedding,1872,12.299
embedding,1888,12.15
embedding,1904,12.288
embedding,1920,12.3633
embedding,1936,12.47
embedding,1952,12.5127
embedding,1968,12.427
embedding,1984,12.502
embedding,2000,12.4807
embedding,2016,12.555
embedding,2032,12.5653
embedding,2048,12.6297
final_layernorm,1,4.43733
final_layernorm,2,4.512
final_layernorm,3,4.53367
final_layernorm,4,4.491
final_layernorm,5,4.50133
final_layernorm,6,4.51233
final_layernorm,7,4.51233
final_layernorm,8,4.55467
final_layernorm,9,4.42667
final_layernorm,10,4.416
final_layernorm,11,4.51233
final_layernorm,12,4.52267
final_layernorm,13,4.46933
final_layernorm,14,4.587
final_layernorm,15,4.52267
final_layernorm,16,4.45867
final_layernorm,20,4.54367
final_layernorm,24,4.59767
final_layernorm,28,4.54433
final_layernorm,32,4.55467
final_layernorm,36,4.53333
final_layernorm,40,4.57633
final_layernorm,44,4.61867
final_layernorm,48,4.61867
final_layernorm,52,4.68267
final_layernorm,56,4.65067
final_layernorm,60,4.768
final_layernorm,64,4.80033
final_layernorm,80,4.92833
final_layernorm,96,5.06733
final_layernorm,112,5.45067
final_layernorm,128,5.57867
final_layernorm,144,5.64267
final_layernorm,160,5.643
final_layernorm,176,5.792
final_layernorm,192,5.888
final_layernorm,208,5.888
final_layernorm,224,7.22167
final_layernorm,240,7.45633
final_layernorm,256,6.315
final_layernorm,272,6.283
final_layernorm,288,6.33667
final_layernorm,304,6.42167
final_layernorm,320,6.496
final_layernorm,336,6.99767
final_layernorm,352,7.083
final_layernorm,368,7.05067
final_layernorm,384,7.062
final_layernorm,400,7.16867
final_layernorm,416,7.32867
final_layernorm,432,7.371
final_layernorm,448,7.63733
final_layernorm,464,8.04333
final_layernorm,480,7.93667
final_layernorm,496,8
final_layernorm,512,8.128
final_layernorm,528,8.18133
final_layernorm,544,8.427
final_layernorm,560,8.78967
final_layernorm,576,8.758
final_layernorm,592,9.01433
final_layernorm,608,9.04567
final_layernorm,624,9.15267
final_layernorm,640,9.29067
final_layernorm,656,9.40833
final_layernorm,672,9.68567
final_layernorm,688,9.878
final_layernorm,704,9.76067
final_layernorm,720,10.0163
final_layernorm,736,9.89867
final_layernorm,752,10.326
final_layernorm,768,10.3687
final_layernorm,784,10.4857
final_layernorm,800,10.401
final_layernorm,816,10.795
