layer,sequences,time_us
lm_head,1,124.943
lm_head,2,118.415
lm_head,3,118.713
lm_head,4,119.3
lm_head,5,120.122
lm_head,6,119.92
lm_head,7,120.805
lm_head,8,120.495
lm_head,9,120.858
lm_head,10,121.093
lm_head,11,121.146
lm_head,12,121.413
lm_head,13,121.669
lm_head,14,122.277
lm_head,15,121.839
lm_head,16,122.735
lm_head,20,130.106
lm_head,24,130.704
lm_head,28,131.184
lm_head,32,134.512
lm_head,36,131.578
lm_head,40,132.048
lm_head,44,132.581
lm_head,48,133.136
lm_head,52,132.869
lm_head,56,164.817
lm_head,60,164.935
lm_head,64,164.689
lm_head,80,165.681
lm_head,96,167.697
lm_head,112,169.105
lm_head,128,170.972
lm_head,144,212.808
lm_head,160,213.139
lm_head,176,213.608
lm_head,192,214.162
lm_head,208,214.429
lm_head,224,214.728
lm_head,240,215.326
lm_head,256,215.517
sampler,1,29.7397
sampler,2,32.79
sampler,3,32.7583
sampler,4,32.6197
sampler,5,32.8657
sampler,6,33.0263
sampler,7,33.313
sampler,8,33.1637
sampler,9,33.09
sampler,10,33.335
sampler,11,33.1213
sampler,12,33.2387
sampler,13,33.4313
sampler,14,33.3453
sampler,15,33.7823
sampler,16,33.3983
sampler,20,34.0067
sampler,24,37.058
sampler,28,37.7403
sampler,32,38.732
sampler,36,39.063
sampler,40,39.7457
sampler,44,40.247
sampler,48,42.5827
sampler,52,43.372
sampler,56,43.7243
sampler,60,44.4493
sampler,64,44.9827
sampler,80,49.452
sampler,96,54.0607
sampler,112,64.099
sampler,128,70.808
sampler,144,75.7673
sampler,160,81.049
sampler,176,86.968
sampler,192,93.283
sampler,208,99.8547
sampler,224,111.183
sampler,240,117.05
sampler,256,123.696
