prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,17.4293
0,0,1,32,17.4183
0,0,1,64,17.3337
0,0,1,128,25.8453
0,0,1,256,26.4533
0,0,1,512,27.2213
0,0,1,1024,29.4397
0,0,1,2048,37.3013
0,0,1,4096,45.0453
0,0,1,8192,57.046
0,0,1,16384,83.7653
0,0,1,32768,130.123
0,0,2,16,27.5197
0,0,2,32,27.488
0,0,2,64,27.5623
0,0,2,128,33.5243
0,0,2,256,34.0473
0,0,2,512,35.7107
0,0,2,1024,42.464
0,0,2,2048,50.081
0,0,2,4096,62.0797
0,0,2,8192,86.347
0,0,2,16384,132.288
0,0,2,32768,227.467
0,0,4,16,28.6297
0,0,4,32,28.7147
0,0,4,64,28.6937
0,0,4,128,34.5717
0,0,4,256,35.905
0,0,4,512,41.9837
0,0,4,1024,49.5147
0,0,4,2048,61.8553
0,0,4,4096,86.5067
0,0,4,8192,131.232
0,0,4,16384,228.181
0,0,4,32768,411.947
0,0,8,16,29.1207
0,0,8,32,29.131
0,0,8,64,29.545
0,0,8,128,39.1253
0,0,8,256,41.3117
0,0,8,512,48.8953
0,0,8,1024,60.2243
0,0,8,2048,85.8457
0,0,8,4096,132.65
0,0,8,8192,224.363
0,0,8,16384,411.616
0,0,8,32768,801.002
0,0,16,16,34.208
0,0,16,32,34.165
0,0,16,64,34.9983
0,0,16,128,41.216
0,0,16,256,53.7813
0,0,16,512,65.8447
0,0,16,1024,93.4497
0,0,16,2048,139.019
0,0,16,4096,230.091
0,0,16,8192,418.666
0,0,16,16384,799.21
0,0,16,32768,1550.35
0,0,32,16,40.747
0,0,32,32,40.9707
0,0,32,64,44.139
0,0,32,128,55.5533
0,0,32,256,72.085
0,0,32,512,104.938
0,0,32,1024,165.302
0,0,32,2048,291.786
0,0,32,4096,537.013
0,0,32,8192,1051.06
0,0,32,16384,2063.35
0,0,32,32768,4088.52
0,0,64,16,50.581
0,0,64,32,53.0247
0,0,64,64,54.7847
0,0,64,128,74.9863
0,0,64,256,101.77
0,0,64,512,153.985
0,0,64,1024,253.397
0,0,64,2048,457.045
0,0,64,4096,865.535
0,0,64,8192,1685.75
0,0,64,16384,3322.52
0,0,64,32768,6594.58
0,0,128,16,74.069
0,0,128,32,74.7403
0,0,128,64,78.399
0,0,128,128,113.087
0,0,128,256,158.709
0,0,128,512,252.564
0,0,128,1024,432.223
0,0,128,2048,800.863
0,0,128,4096,1546.56
0,0,128,8192,3039.56
0,0,128,16384,6024.42
0,0,128,32768,12014.7
0,0,256,16,126.432
0,0,256,32,127.744
0,0,256,64,131.711
0,0,256,128,195.264
0,0,256,256,276.426
0,0,256,512,462.432
0,0,256,1024,825.268
0,0,256,2048,1578.73
0,0,256,4096,3078.8
0,0,256,8192,6078.07
0,0,256,16384,12098.6
0,0,256,32768,24110.9
16,0,0,0,18.0263
16,0,1,16,18.3683
16,0,1,32,18.3473
16,0,1,64,18.432
16,0,1,128,20.64
16,0,1,256,24.704
16,0,1,512,32.512
16,0,1,1024,48.4053
16,0,1,2048,79.8613
16,0,1,4096,143.285
16,0,1,8192,269.6
16,0,1,16384,522.836
16,0,1,32768,1029.21
16,0,2,16,18.5603
16,0,2,32,18.3357
16,0,2,64,18.453
16,0,2,128,20.9067
16,0,2,256,24.9173
16,0,2,512,32.981
16,0,2,1024,49.333
16,0,2,2048,81.6853
16,0,2,4096,145.611
16,0,2,8192,273.461
16,0,2,16384,528.671
16,0,2,32768,1036.67
16,0,4,16,19.6697
16,0,4,32,19.8187
16,0,4,64,20.0213
16,0,4,128,26.2827
16,0,4,256,33.2477
16,0,4,512,45.5143
16,0,4,1024,70.016
16,0,4,2048,119.487
16,0,4,4096,217.845
16,0,4,8192,414.004
16,0,4,16384,812.596
16,0,4,32768,1593.06
16,0,8,16,30.8153
16,0,8,32,31.1573
16,0,8,64,31.5413
16,0,8,128,39.1787
16,0,8,256,48.9383
16,0,8,512,71.872
16,0,8,1024,110.837
16,0,8,2048,188.213
16,0,8,4096,406.05
16,0,8,8192,704.585
16,0,8,16384,1302.76
16,0,8,32768,2573.02
16,0,16,16,39.5093
16,0,16,32,39.8183
16,0,16,64,40.1387
16,0,16,128,54.613
16,0,16,256,71.083
16,0,16,512,104.107
16,0,16,1024,167.733
16,0,16,2048,304.063
16,0,16,4096,547.584
16,0,16,8192,1088.21
16,0,16,16384,2115.05
16,0,16,32768,4307.29
16,0,32,16,59.253
16,0,32,32,58.9867
16,0,32,64,60.0003
16,0,32,128,88.832
16,0,32,256,122.197
16,0,32,512,181.536
16,0,32,1024,303.221
16,0,32,2048,549.662
16,0,32,4096,1043.02
16,0,32,8192,2110.75
16,0,32,16384,4658.47
16,0,32,32768,9989.64
16,0,64,16,102.634
16,0,64,32,102.09
16,0,64,64,103.253
16,0,64,128,162.367
16,0,64,256,224.171
16,0,64,512,339.476
16,0,64,1024,591.38
16,0,64,2048,1172.81
16,0,64,4096,2588.83
16,0,64,8192,5467.45
16,0,64,16384,11318
16,0,64,32768,22923.3
16,0,128,16,187.499
16,0,128,32,186.261
16,0,128,64,188.331
16,0,128,128,304.277
16,0,128,256,430.431
16,0,128,512,693.577
16,0,128,1024,1440.88
16,0,128,2048,2896.23
16,0,128,4096,5827.06
16,0,128,8192,11693.8
16,0,128,16384,23466.8
16,0,128,32768,46901.1
16,16,0,0,18.24
16,16,1,16,18.3257
16,16,1,32,18.3253
16,16,1,64,18.4427
16,16,1,128,20.5973
16,16,1,256,24.6827
16,16,1,512,32.5867
16,16,1,1024,48.4593
16,16,1,2048,80.234
16,16,1,4096,143.647
16,16,1,8192,270.603
16,16,1,16384,524.468
16,16,1,32768,1032.3
16,16,2,16,18.688
16,16,2,32,18.7087
16,16,2,64,18.4637
16,16,2,128,20.9387
16,16,2,256,24.96
16,16,2,512,33.024
16,16,2,1024,49.8773
16,16,2,2048,81.6313
16,16,2,4096,145.888
16,16,2,8192,273.14
16,16,2,16384,527.454
16,16,2,32768,1037.02
16,16,4,16,19.7973
16,16,4,32,19.4987
16,16,4,64,19.9787
16,16,4,128,26.0587
16,16,4,256,33.269
16,16,4,512,45.5257
16,16,4,1024,70.1757
16,16,4,2048,119.232
16,16,4,4096,218.111
16,16,4,8192,414.676
16,16,4,16384,812.072
16,16,4,32768,1599.69
16,16,8,16,30.7947
16,16,8,32,31.0503
16,16,8,64,31.392
16,16,8,128,38.5597
16,16,8,256,49.0133
16,16,8,512,70.8267
16,16,8,1024,111.648
16,16,8,2048,187.861
16,16,8,4096,405.695
16,16,8,8192,696.243
16,16,8,16384,1301.43
16,16,8,32768,2572.16
16,16,16,16,39.7117
16,16,16,32,39.5303
16,16,16,64,40.3517
16,16,16,128,54.5707
16,16,16,256,71.189
16,16,16,512,104.277
