pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0763,2
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0851,2
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.069,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0901,2
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0698,1
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1236,1
0,n<=128,sr<=40%,kvB<=32k,kp=0,0.0693,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0363,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0749,4
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0486,4
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.0741,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.074,4
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0877,1
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0834,1
0,n<=128,sr<=70%,kvB<=32k,kp=0,0.0879,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0462,1
0,n<=128,sr>70%,kvB<=16k,kp=0,0.1647,2
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2134,2
0,n<=128,sr>70%,kvB<=32k,kp=0,0.1837,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.1516,2
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1733,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1122,4
0,n<=16,sr<=15%,kvB<=32k,kp=0,0.1842,2
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.1276,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0785,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.058,4
0,n<=16,sr<=40%,kvB<=32k,kp=0,0.0804,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0108,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0277,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.1101,2
0,n<=16,sr<=70%,kvB<=32k,kp=0,0.0366,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0444,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.5323,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.0568,3
0,n<=16,sr>70%,kvB<=32k,kp=0,0.544,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.4249,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0633,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.842,2
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.029,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.0499,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0223,2
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0463,2
0,n<=256,sr<=15%,kvB<=32k,kp=0,0.0227,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0279,2
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0115,1
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0983,1
0,n<=256,sr<=40%,kvB<=32k,kp=0,0.0161,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0034,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0217,4
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0013,4
0,n<=256,sr<=5%,kvB<=32k,kp=0,0.0213,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0181,4
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0012,1
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1047,1
0,n<=256,sr<=70%,kvB<=32k,kp=0,0.0077,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0167,1
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0376,2
0,n<=256,sr>70%,kvB<=1k,kp=0,0.197,2
0,n<=256,sr>70%,kvB<=32k,kp=0,-0.0202,2
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0262,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.2173,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1852,6
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.2211,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.2187,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1211,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1787,2
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.1397,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1253,2
