regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,100.606,102.716,101.822,0.5763
pure,2,1,0.5,4.0,0,0,512,2048,1280,114.621,135.965,128.925,0.6702
pure,2,1,0.5,4.0,0,0,2048,8192,5120,169.31,197.854,167.484,-0.064
pure,2,1,0.5,4.0,0,0,8192,32768,20480,307.644,422.458,335.323,0.2411
mixed,2,1,0.5,4.0,16,0,128,512,320,73.855,95.614,95.776,1.0074
mixed,2,1,0.5,4.0,16,0,512,2048,1280,167.037,238.46,237.181,0.9821
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,522.681,807.092,805.715,0.9952
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,1949.41,3089.942,3082.55,0.9935
mixed,2,1,0.5,4.0,16,512,128,512,320,97.536,98.56,97.054,-0.4707
mixed,2,1,0.5,4.0,16,512,512,2048,1280,167.775,239.133,238.943,0.9973
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,522.516,807.157,804.918,0.9921
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,1948.998,3089.519,3085.655,0.9966
mixed,2,1,0.5,4.0,16,2048,128,512,320,238.236,237.98,237.725,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,238.749,241.885,239.389,0.2041
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,523.832,807.699,805.876,0.9936
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,1950.438,3085.299,3084.723,0.9995
mixed,2,1,0.5,4.0,16,8192,128,512,320,802.261,810.165,800.981,-0.1619
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,810.87,808.885,808.18,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,808.916,810.708,811.348,1.3571
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,1949.095,3088.788,3085.91,0.9975
mixed,2,1,0.5,4.0,16,20480,128,512,320,1947.524,1951.907,1949.636,0.4819
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,1953.03,1952.482,1954.436,
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,1953.477,1955.075,1953.059,-0.2616
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,1955.843,3090.55,3090.13,0.9996
mixed,2,1,0.5,4.0,64,0,128,512,320,74.944,96.833,96.318,0.9765
mixed,2,1,0.5,4.0,64,0,512,2048,1280,169.726,241.597,237.917,0.9488
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,525.306,808.342,808.756,1.0015
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,1950.916,3095.285,3088.308,0.9939
mixed,2,1,0.5,4.0,64,512,128,512,320,98.846,101.28,99.263,0.1713
mixed,2,1,0.5,4.0,64,512,512,2048,1280,168.796,240.765,238.461,0.968
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,525.69,810.74,808.698,0.9928
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,1951.717,3096.323,3088.389,0.9931
mixed,2,1,0.5,4.0,64,2048,128,512,320,241.34,240.669,241.243,
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,243.165,245.054,241.821,-0.7115
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,525.175,811.028,808.567,0.9914
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,1952.262,3093.365,3088.117,0.9954
mixed,2,1,0.5,4.0,64,8192,128,512,320,812.979,812.628,812.5,
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,813.109,813.365,812.756,-1.3789
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,814.164,816.247,813.908,-0.1229
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,1951.011,3093.876,3088.948,0.9957
mixed,2,1,0.5,4.0,64,20480,128,512,320,1956.161,1954.851,1956.42,
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,1956.1,1957.285,1956.677,0.4869
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,1956.645,1957.286,1957.574,1.4493
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,1962.115,3096.979,3092.691,0.9962
mixed,2,1,0.5,4.0,256,0,128,512,320,110.206,143.198,140.703,0.9244
mixed,2,1,0.5,4.0,256,0,512,2048,1280,252.219,358.553,354.651,0.9633
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,786.293,1214.766,1205.678,0.9788
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,2924.694,4639.488,4619.442,0.9883
mixed,2,1,0.5,4.0,256,512,128,512,320,164.573,164.35,164.093,
mixed,2,1,0.5,4.0,256,512,512,2048,1280,251.514,357.467,355.642,0.9828
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,786.293,1213.87,1208.013,0.9863
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,2931.125,4648.635,4618.812,0.9826
mixed,2,1,0.5,4.0,256,2048,128,512,320,376.697,377.147,375.994,-1.5622
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,377.373,378.555,376.635,-0.6244
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,786.005,1210.989,1210.351,0.9985
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,2941.618,4638.56,4621.439,0.9899
mixed,2,1,0.5,4.0,256,8192,128,512,320,1225.744,1225.968,1227.503,7.8527
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1227.726,1224.909,1226.83,
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,1225.424,1227.822,1225.839,0.1731
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2924.6,4654.144,4618.364,0.9793
mixed,2,1,0.5,4.0,256,20480,128,512,320,2924.694,2930.71,2924.662,-0.0053
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2923.668,2928.853,2924.628,0.1851
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2926.102,2929.401,2922.969,-0.9497
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,2943.256,4646.334,4625.374,0.9877
mixed,2,1,0.5,4.0,1024,0,128,512,320,263.197,278.748,273.148,0.6399
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,323.644,410.777,401.85,0.8975
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,848.18,1272.655,1155.957,0.7251
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3003.03,4721.824,4643.102,0.9542
mixed,2,1,0.5,4.0,1024,512,128,512,320,390.104,397.144,398.106,1.1366
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,436.058,487.771,464.411,0.5483
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,889.972,1307.056,1081.747,0.4598
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3071.796,4751.935,3878.533,0.4802
mixed,2,1,0.5,4.0,1024,2048,128,512,320,790.964,815.027,798.741,0.3232
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,820.214,822.709,830.578,4.1539
