layer,sequences,time_us
lm_head,1,133.76
lm_head,2,135.435
lm_head,3,135.093
lm_head,4,136.117
lm_head,5,137.418
lm_head,6,137.568
lm_head,7,137.855
lm_head,8,137.216
lm_head,9,138.228
lm_head,10,139.061
lm_head,11,138.57
lm_head,12,138.698
lm_head,13,140.351
lm_head,14,139.808
lm_head,15,141.268
lm_head,16,140.447
lm_head,20,124.8
lm_head,24,125.323
lm_head,28,125.162
lm_head,32,126.635
lm_head,36,124.096
lm_head,40,124.597
lm_head,44,124.49
lm_head,48,124.927
lm_head,52,125.312
lm_head,56,125.194
lm_head,60,126.069
lm_head,64,127.125
lm_head,80,142.506
lm_head,96,143.434
lm_head,112,143.914
lm_head,128,144.597
lm_head,144,265.695
lm_head,160,265.898
lm_head,176,266.506
lm_head,192,266.58
lm_head,208,267.956
lm_head,224,268.138
lm_head,240,268.128
lm_head,256,268.234
sampler,1,23.189
sampler,2,25.333
sampler,3,25.1847
sampler,4,25.5257
sampler,5,25.5043
sampler,6,25.5463
sampler,7,25.1733
sampler,8,25.1837
sampler,9,25.3117
sampler,10,25.1623
sampler,11,25.0877
sampler,12,25.5677
sampler,13,25.4933
sampler,14,25.44
sampler,15,25.5147
sampler,16,25.5473
sampler,20,26.6987
sampler,24,26.7843
sampler,28,26.6773
sampler,32,26.912
sampler,36,26.4533
sampler,40,26.635
sampler,44,27.0937
sampler,48,28.864
sampler,52,29.3333
sampler,56,29.76
sampler,60,29.9837
sampler,64,30.4207
sampler,80,31.8613
sampler,96,34.0367
sampler,112,38.869
sampler,128,40.544
sampler,144,45.9413
sampler,160,47.317
sampler,176,48.8313
sampler,192,51.7333
sampler,208,53.3123
sampler,224,59.8077
sampler,240,63.5833
sampler,256,65.3653
