prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,17.3113
0,0,1,64,17.2257
0,0,1,256,26.165
0,0,1,1024,28.299
0,0,1,4096,41.6527
0,0,1,16384,62.5697
0,0,1,40960,98.132
0,0,2,16,27.7447
0,0,2,64,27.8183
0,0,2,256,33.482
0,0,2,1024,36.831
0,0,2,4096,53.333
0,0,2,16384,92.0413
0,0,2,40960,163.24
0,0,4,16,28.0743
0,0,4,64,28.0747
0,0,4,256,34.751
0,0,4,1024,44.2237
0,0,4,4096,63.935
0,0,4,16384,137.545
0,0,4,40960,278.332
0,0,8,16,28.565
0,0,8,64,28.4587
0,0,8,256,36.084
0,0,8,1024,51.5303
0,0,8,4096,88.4363
0,0,8,16384,229.661
0,0,8,40960,513.476
0,0,16,16,29.5353
0,0,16,64,29.8987
0,0,16,256,43.3907
0,0,16,1024,63.455
0,0,16,4096,135.679
0,0,16,16384,416.774
0,0,16,40960,995.177
0,0,32,16,34.603
0,0,32,64,35.7537
0,0,32,256,55.3063
0,0,32,1024,95.188
0,0,32,4096,232.637
0,0,32,16384,805.878
0,0,32,40960,1938.84
0,0,64,16,40.373
0,0,64,64,44.48
0,0,64,256,75.1777
0,0,64,1024,169.662
0,0,64,4096,544.517
0,0,64,16384,2066.14
0,0,64,40960,5097.95
0,0,128,16,51.5833
0,0,128,64,55.445
0,0,128,256,102.942
0,0,128,1024,255.964
0,0,128,4096,870.336
0,0,128,16384,3338.24
0,0,128,40960,8264.55
0,0,256,16,77.7377
0,0,256,64,82.3027
0,0,256,256,163.294
0,0,256,1024,434.705
0,0,256,4096,1561.44
0,0,256,16384,6076.33
0,0,256,40960,15093.4
16,0,0,0,17.3223
16,0,1,16,17.0773
16,0,1,64,17.1203
16,0,1,256,23.5623
16,0,1,1024,47.018
16,0,1,4096,140.884
16,0,1,16384,521.818
16,0,1,40960,1284.37
16,0,2,16,17.3113
16,0,2,64,17.3757
16,0,2,256,23.7867
16,0,2,1024,47.221
16,0,2,4096,141.449
16,0,2,16384,523.163
16,0,2,40960,1286.18
16,0,4,16,17.4717
16,0,4,64,17.504
16,0,4,256,24.544
16,0,4,1024,48.3727
16,0,4,4096,144.148
16,0,4,16384,525.848
16,0,4,40960,1290.6
16,0,8,16,19.3387
16,0,8,64,19.541
16,0,8,256,32.9703
16,0,8,1024,68.8213
16,0,8,4096,213.246
16,0,8,16384,792.396
16,0,8,40960,1953.95
16,0,16,16,30.4643
16,0,16,64,31.0393
16,0,16,256,48.096
16,0,16,1024,110.431
16,0,16,4096,400.805
16,0,16,16384,1307.33
16,0,16,40960,3239.69
16,0,32,16,38.7833
16,0,32,64,40.0957
16,0,32,256,71.125
16,0,32,1024,165.565
16,0,32,4096,558.447
16,0,32,16384,2449.34
16,0,32,40960,6482.61
16,0,64,16,58.9547
16,0,64,64,59.5087
16,0,64,256,120.276
16,0,64,1024,310.162
16,0,64,4096,1182.23
16,0,64,16384,5341.14
16,0,64,40960,13697.2
16,0,128,16,102.836
16,0,128,64,104.447
16,0,128,256,225.651
16,0,128,1024,697.379
16,0,128,4096,2889.35
16,0,128,16384,11771.9
16,0,128,40960,29515.4
16,16,0,0,17.4177
16,16,1,16,17.131
16,16,1,64,17.1417
16,16,1,256,23.5727
16,16,1,1024,47.0617
16,16,1,4096,140.948
16,16,1,16384,521.199
16,16,1,40960,1284.73
16,16,2,16,17.43
16,16,2,64,17.375
16,16,2,256,23.7443
16,16,2,1024,47.317
16,16,2,4096,141.855
16,16,2,16384,522.735
16,16,2,40960,1286.44
16,16,4,16,17.4183
16,16,4,64,17.578
16,16,4,256,24.533
16,16,4,1024,48.5753
16,16,4,4096,144.329
16,16,4,16384,526.309
16,16,4,40960,1291.04
16,16,8,16,19.2533
16,16,8,64,19.5307
16,16,8,256,33.0123
16,16,8,1024,68.7033
16,16,8,4096,213.96
16,16,8,16384,790.903
16,16,8,40960,1948.69
16,16,16,16,30.4427
16,16,16,64,31.1463
16,16,16,256,48.4367
16,16,16,1024,109.652
16,16,16,4096,401.478
16,16,16,16384,1384.83
16,16,16,40960,3239.8
16,16,32,16,38.8897
16,16,32,64,39.7973
16,16,32,256,70.7833
16,16,32,1024,166.1
16,16,32,4096,557.849
16,16,32,16384,2395.25
16,16,32,40960,6428.22
16,16,64,16,58.773
16,16,64,64,59.4553
16,16,64,256,120.831
16,16,64,1024,311.196
16,16,64,4096,1170.17
16,16,64,16384,5330.24
16,16,64,40960,13761
16,16,128,16,102.686
16,16,128,64,103.999
16,16,128,256,225.704
16,16,128,1024,695.426
16,16,128,4096,2882.24
16,16,128,16384,11761.3
16,16,128,40960,29508.4
16,64,0,0,17.5247
16,64,1,16,17.2157
16,64,1,64,17.344
16,64,1,256,23.5517
16,64,1,1024,46.997
16,64,1,4096,140.724
16,64,1,16384,522.04
16,64,1,40960,1283.52
16,64,2,16,17.269
16,64,2,64,17.4827
16,64,2,256,23.7333
16,64,2,1024,47.391
16,64,2,4096,141.887
16,64,2,16384,523.536
16,64,2,40960,1285.83
16,64,4,16,17.4507
16,64,4,64,17.5357
16,64,4,256,24.4263
16,64,4,1024,48.5437
16,64,4,4096,144.628
16,64,4,16384,526.405
16,64,4,40960,1291.54
16,64,8,16,19.4773
16,64,8,64,19.6907
16,64,8,256,33.0133
16,64,8,1024,69.2043
16,64,8,4096,213.448
16,64,8,16384,792.343
16,64,8,40960,1941.66
16,64,16,16,30.8157
16,64,16,64,31.221
16,64,16,256,48.5547
16,64,16,1024,109.727
16,64,16,4096,400.923
16,64,16,16384,1391.47
16,64,16,40960,3236.95
16,64,32,16,39.3913
16,64,32,64,39.9573
16,64,32,256,70.73
16,64,32,1024,166.654
16,64,32,4096,558.938
16,64,32,16384,2478.3
16,64,32,40960,6486.85
16,64,64,16,58.7837
16,64,64,64,59.7863
16,64,64,256,120.255
