regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,101.372,104.033,103.198,0.6862
pure,2,1,0.5,4.0,0,0,1024,4096,2560,141.95,160.671,145.628,0.1965
pure,2,1,0.5,4.0,0,0,8192,32768,20480,305.401,418.174,323.036,0.1564
mixed,2,1,0.5,4.0,16,0,128,512,320,72.381,94.784,94.366,0.9813
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,283.453,424.411,425.563,1.0082
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,1951.082,3096.635,3090.975,0.9951
mixed,2,1,0.5,4.0,16,512,128,512,320,96.735,97.695,95.901,-0.8687
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,282.782,427.772,426.972,0.9945
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,1950.956,3094.59,3090.557,0.9965
mixed,2,1,0.5,4.0,16,4096,128,512,320,426.619,426.235,426.17,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,430.107,431.611,428.218,-1.256
mixed,2,1,0.5,4.0,16,4096,8192,32768,20480,1956.395,3102.493,3097.855,0.996
mixed,2,1,0.5,4.0,16,20480,128,512,320,1954.474,1952.331,1953.677,
mixed,2,1,0.5,4.0,16,20480,1024,4096,2560,1956.651,1957.004,1954.505,-6.0793
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,1961.162,3102.846,3095.932,0.9939
mixed,2,1,0.5,4.0,128,0,128,512,320,77.535,98.845,98.975,1.0061
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,289.725,433.084,432.41,0.9953
mixed,2,1,0.5,4.0,128,0,8192,32768,20480,1959.531,3103.519,3101.787,0.9985
mixed,2,1,0.5,4.0,128,512,128,512,320,102.431,104.608,101.949,-0.2214
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,290.077,433.148,431.932,0.9915
mixed,2,1,0.5,4.0,128,512,8192,32768,20480,1960.044,3106.558,3100.64,0.9948
mixed,2,1,0.5,4.0,128,4096,128,512,320,437.564,438.363,438.14,0.7209
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,438.074,440.636,438.332,0.1007
mixed,2,1,0.5,4.0,128,4096,8192,32768,20480,1960.809,3103.58,3102.941,0.9994
mixed,2,1,0.5,4.0,128,20480,128,512,320,1968.489,1969.867,1967.979,-0.3701
mixed,2,1,0.5,4.0,128,20480,1024,4096,2560,1969.003,1969.289,1970.379,4.8112
mixed,2,1,0.5,4.0,128,20480,8192,32768,20480,1970.476,3110.238,3105.63,0.996
mixed,2,1,0.5,4.0,1024,0,128,512,320,270.556,279.871,271.261,0.0757
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,503.386,726.744,633.112,0.5808
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3028.821,4702.957,4262.415,0.7369
mixed,2,1,0.5,4.0,1024,512,128,512,320,385.087,407.773,394.139,0.399
mixed,2,1,0.5,4.0,1024,512,1024,4096,2560,536.986,758.2,692.824,0.7045
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3028.256,4851.949,4316.849,0.7066
mixed,2,1,0.5,4.0,1024,4096,128,512,320,1332.979,1352.048,1352.753,1.037
mixed,2,1,0.5,4.0,1024,4096,1024,4096,2560,1368.561,1380.756,1362.707,-0.48
