layer,tokens,time_us
act_fn,1,3.70133
act_fn,2,3.99967
act_fn,3,3.97833
act_fn,4,4
act_fn,5,3.936
act_fn,6,3.97867
act_fn,7,3.989
act_fn,8,3.94667
act_fn,9,3.968
act_fn,10,3.968
act_fn,11,3.95733
act_fn,12,3.978
act_fn,13,4.053
act_fn,14,4.01033
act_fn,15,3.97867
act_fn,16,4.12767
act_fn,20,4.064
act_fn,24,4.11733
act_fn,28,4.14933
act_fn,32,4.11733
act_fn,36,4.10667
act_fn,40,4.14933
act_fn,44,4.20267
act_fn,48,4.24533
act_fn,52,4.30933
act_fn,56,4.27733
act_fn,60,4.27733
act_fn,64,4.25567
act_fn,80,4.597
act_fn,96,4.49067
act_fn,112,5.30133
act_fn,128,5.29033
act_fn,144,5.50367
act_fn,160,5.43967
act_fn,176,5.43967
act_fn,192,5.493
act_fn,208,5.57867
act_fn,224,6.37833
act_fn,240,6.53867
act_fn,256,6.709
act_fn,272,6.71967
act_fn,288,6.89033
act_fn,304,6.80533
act_fn,320,6.944
act_fn,336,7.51967
act_fn,352,7.65833
act_fn,368,7.95733
act_fn,384,8.02067
act_fn,400,8.14933
act_fn,416,8.768
act_fn,432,8.65067
act_fn,448,8.77833
act_fn,464,8.608
act_fn,480,9.013
act_fn,496,9.013
act_fn,512,9.57867
act_fn,528,10.6987
act_fn,544,10.7947
act_fn,560,11.018
act_fn,576,11.072
act_fn,592,11.093
act_fn,608,11.4347
act_fn,624,11.6897
act_fn,640,11.52
act_fn,656,11.8717
act_fn,672,12.053
act_fn,688,12.202
act_fn,704,12.874
act_fn,720,12.8207
act_fn,736,12.8533
act_fn,752,13.0767
act_fn,768,13.2047
act_fn,784,13.1727
act_fn,800,13.194
act_fn,816,13.557
act_fn,832,13.6313
act_fn,848,13.5567
act_fn,864,13.9197
act_fn,880,13.7703
act_fn,896,13.6423
act_fn,912,13.9937
act_fn,928,14.0473
act_fn,944,13.973
act_fn,960,14.4103
act_fn,976,14.3463
act_fn,992,14.549
act_fn,1008,15.178
act_fn,1024,14.826
act_fn,1040,15.349
act_fn,1056,15.6693
act_fn,1072,15.615
act_fn,1088,16.0847
act_fn,1104,16.1703
act_fn,1120,16.2767
act_fn,1136,16.3837
act_fn,1152,16.565
act_fn,1168,16.8953
act_fn,1184,16.81
act_fn,1200,17.119
act_fn,1216,17.418
act_fn,1232,17.6847
act_fn,1248,17.9723
act_fn,1264,17.9303
act_fn,1280,17.951
act_fn,1296,18.303
act_fn,1312,18.559
act_fn,1328,18.282
act_fn,1344,18.101
act_fn,1360,18.4213
act_fn,1376,18.5913
act_fn,1392,18.8263
act_fn,1408,18.73
act_fn,1424,21.2577
act_fn,1440,21.3643
act_fn,1456,21.8453
act_fn,1472,21.727
act_fn,1488,22.3247
act_fn,1504,22.4953
act_fn,1520,22.8047
act_fn,1536,23.0713
act_fn,1552,20.5647
act_fn,1568,20.9803
act_fn,1584,21.162
act_fn,1600,21.301
act_fn,1616,21.589
act_fn,1632,21.7807
act_fn,1648,22.1753
act_fn,1664,22.6123
act_fn,1680,22.7727
act_fn,1696,23.2207
act_fn,1712,23.7647
act_fn,1728,24.063
act_fn,1744,24.2763
act_fn,1760,24.9697
act_fn,1776,24.9697
act_fn,1792,25.109
act_fn,1808,25.418
act_fn,1824,25.7703
act_fn,1840,25.567
act_fn,1856,25.8763
act_fn,1872,26.3033
act_fn,1888,26.3887
act_fn,1904,26.538
act_fn,1920,26.8797
act_fn,1936,28.543
act_fn,1952,28.426
act_fn,1968,28.9807
act_fn,1984,28.8203
act_fn,2000,29.567
act_fn,2016,29.61
act_fn,2032,29.8763
act_fn,2048,29.9403
down_proj,1,29.9617
down_proj,2,29.3647
down_proj,3,29.3643
down_proj,4,29.6097
down_proj,5,29.567
down_proj,6,29.6097
down_proj,7,29.887
down_proj,8,29.652
down_proj,9,29.8013
down_proj,10,29.887
down_proj,11,29.9617
down_proj,12,29.983
down_proj,13,30.335
down_proj,14,30.2813
down_proj,15,30.175
down_proj,16,30.6337
down_proj,20,30.2493
down_proj,24,30.559
down_proj,28,30.1537
down_proj,32,30.463
down_proj,36,30.8683
down_proj,40,30.7403
down_proj,44,31.4977
down_proj,48,31.4657
down_proj,52,31.551
down_proj,56,31.103
down_proj,60,31.8923
down_proj,64,31.3483
down_proj,80,41.108
down_proj,96,39.9883
down_proj,112,39.583
down_proj,128,39.5083
down_proj,144,44.1907
down_proj,160,45.076
down_proj,176,46.3347
down_proj,192,48.457
down_proj,208,64.627
down_proj,224,65.0327
down_proj,240,65.0537
down_proj,256,64.979
down_proj,272,65.118
down_proj,288,66.0033
down_proj,304,65.747
down_proj,320,65.6833
down_proj,336,65.8857
down_proj,352,66.1633
down_proj,368,65.9073
down_proj,384,66.0673
down_proj,400,104.967
down_proj,416,104.967
down_proj,432,104.935
down_proj,448,104.466
down_proj,464,104.754
down_proj,480,105.159
down_proj,496,105.33
down_proj,512,105.587
down_proj,528,120.039
down_proj,544,120.081
down_proj,560,120.06
down_proj,576,120.081
down_proj,592,120.22
down_proj,608,120.103
down_proj,624,120.188
down_proj,640,120.263
down_proj,656,120.625
down_proj,672,120.423
down_proj,688,120.443
down_proj,704,120.722
down_proj,720,120.797
down_proj,736,120.711
down_proj,752,120.754
down_proj,768,120.818
down_proj,784,233.721
down_proj,800,233.977
down_proj,816,233.753
down_proj,832,233.924
down_proj,848,234.041
down_proj,864,234.009
down_proj,880,233.837
down_proj,896,233.838
down_proj,912,235.438
down_proj,928,235.374
down_proj,944,235.438
down_proj,960,235.471
down_proj,976,235.769
down_proj,992,235.705
down_proj,1008,235.865
down_proj,1024,235.673
down_proj,1040,235.662
down_proj,1056,235.427
down_proj,1072,235.534
down_proj,1088,235.651
down_proj,1104,235.523
down_proj,1120,235.801
