layer,sequences,time_us
lm_head,1,204.036
lm_head,2,193.423
lm_head,3,193.221
lm_head,4,195.087
lm_head,5,194.895
lm_head,6,196.047
lm_head,7,195.535
lm_head,8,194.874
lm_head,9,197.338
lm_head,10,195.834
lm_head,11,196.261
lm_head,12,197.103
lm_head,13,197.221
lm_head,14,196.986
lm_head,15,197.402
lm_head,16,198.148
lm_head,20,232.153
lm_head,24,232.303
lm_head,28,232.366
lm_head,32,232.719
lm_head,36,298.636
lm_head,40,298.455
lm_head,44,299.266
lm_head,48,300.044
lm_head,52,300.364
lm_head,56,300.365
lm_head,60,300.364
lm_head,64,299.426
lm_head,80,304.183
lm_head,96,305.463
lm_head,112,303.596
lm_head,128,305.399
lm_head,144,397.076
lm_head,160,397.599
lm_head,176,398.1
lm_head,192,398.218
lm_head,208,399.391
lm_head,224,399.711
lm_head,240,399.924
lm_head,256,399.914
sampler,1,27.9673
sampler,2,29.173
sampler,3,29.365
sampler,4,29.4387
sampler,5,28.8427
sampler,6,28.7887
sampler,7,29.386
sampler,8,29.1093
sampler,9,29.3103
sampler,10,29.428
sampler,11,29.5457
sampler,12,29.556
sampler,13,29.5143
sampler,14,29.567
sampler,15,30.026
sampler,16,29.9083
sampler,20,30.015
sampler,24,30.5483
sampler,28,33.4067
sampler,32,34.1103
sampler,36,34.7617
sampler,40,34.857
sampler,44,35.4227
sampler,48,35.7213
sampler,52,36.522
sampler,56,38.6227
sampler,60,39.1027
sampler,64,39.2843
sampler,80,41.13
sampler,96,45.1193
sampler,112,54.2277
sampler,128,56.4573
sampler,144,62.0037
sampler,160,64.8513
sampler,176,69.5443
sampler,192,73.7893
sampler,208,78.6963
sampler,224,88.6057
sampler,240,93.586
sampler,256,99.0687
