tokens,activated_experts,time_us
1,8,114.658
2,8,120.044
2,16,205.505
4,8,122.316
4,16,206.679
4,32,376.879
8,8,129.345
8,16,213.357
8,32,381.422
8,64,716.796
16,8,150.646
16,16,234.381
16,32,400.506
16,64,730.236
16,128,1396.96
32,8,189.239
32,16,240.887
32,32,408.75
32,64,740.774
32,128,1405.79
64,8,169.206
64,16,230.316
64,32,395.886
64,64,739.611
64,128,1422.58
128,8,240.802
128,16,267.32
128,32,431.278
128,64,785.211
128,128,1472.8
256,8,388.131
256,16,387.716
256,32,485.625
256,64,807.281
256,128,1514.27
512,8,739.013
512,16,738.789
512,32,739.397
512,64,869.392
512,128,1576.16
1024,8,1491.12
1024,16,1491.21
1024,32,1490.05
1024,64,1489.79
1024,128,2677.73
2048,8,2865.36
2048,16,2866.57
2048,32,2863.85
2048,64,2865.61
2048,128,2862.02
4096,8,5651.75
4096,16,5646.36
4096,32,5647.31
4096,64,5650.67
4096,128,5642.68
8192,8,11155.4
8192,16,9961.02
8192,32,9936.34
8192,64,9957.59
8192,128,9998.26
16384,8,20067.9
16384,16,20112.9
16384,32,20167.1
16384,64,20183
16384,128,20164.2
32768,8,40823.1
32768,16,40743.6
32768,32,40843.3
32768,64,40744.4
32768,128,40927
