layer,sequences,time_us
lm_head,1,703.311
lm_head,2,714.02
lm_head,3,721.86
lm_head,4,723.418
lm_head,5,724.026
lm_head,6,725.317
lm_head,7,727.994
lm_head,8,729.648
lm_head,9,728.996
lm_head,10,730.703
lm_head,11,732.89
lm_head,12,731.919
lm_head,13,733.168
lm_head,14,735.183
lm_head,15,735.279
lm_head,16,736.73
lm_head,20,750.565
lm_head,24,753.103
lm_head,28,755.055
lm_head,32,756.922
lm_head,36,759.674
lm_head,40,762.949
lm_head,44,763.781
lm_head,48,766.405
lm_head,52,767.578
lm_head,56,770.201
lm_head,60,772.164
lm_head,64,773.594
lm_head,80,1290.47
lm_head,96,1295.16
lm_head,112,1298.65
lm_head,128,1302.11
lm_head,144,1750.51
lm_head,160,1751.62
lm_head,176,1751.57
lm_head,192,2413.15
lm_head,208,2414.67
lm_head,224,2416.61
lm_head,240,2421.11
lm_head,256,2424.14
sampler,1,13.3217
sampler,2,13.8983
sampler,3,16.2347
sampler,4,18.2293
sampler,5,20.2773
sampler,6,20.7253
sampler,7,23.648
sampler,8,24.194
sampler,9,26.8683
sampler,10,29.098
sampler,11,30.6773
sampler,12,32.5023
sampler,13,35.424
sampler,14,38.976
sampler,15,40.6627
sampler,16,42.7413
sampler,20,51.894
sampler,24,60.4053
sampler,28,68.1497
sampler,32,76.897
sampler,36,84.8853
sampler,40,95.8417
sampler,44,101.984
sampler,48,111.809
sampler,52,117.889
sampler,56,124.877
sampler,60,129.558
sampler,64,141.985
sampler,80,166.422
sampler,96,202.625
sampler,112,225.719
sampler,128,265.741
sampler,144,290.199
sampler,160,319.405
sampler,176,341.186
sampler,192,368.792
sampler,208,396.62
sampler,224,424.983
sampler,240,454.765
sampler,256,511.682
