regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,64.161,66.784,64.927,0.292
pure,2,1,0.5,4.0,0,0,256,1024,640,76.768,81.95,78.913,0.4139
pure,2,1,0.5,4.0,0,0,512,2048,1280,100.19,116.127,107.934,0.4859
pure,2,1,0.5,4.0,0,0,1024,4096,2560,125.437,162.561,133.214,0.2095
mixed,2,1,0.5,4.0,16,0,128,512,320,106.943,141.185,140.607,0.9831
mixed,2,1,0.5,4.0,16,0,256,1024,640,159.327,214.304,212.96,0.9756
mixed,2,1,0.5,4.0,16,0,512,2048,1280,251.777,357.824,357.857,1.0003
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,431.455,646.05,643.04,0.986
mixed,2,1,0.5,4.0,16,512,128,512,320,179.68,213.087,159.872,-0.5929
mixed,2,1,0.5,4.0,16,512,256,1024,640,231.839,285.6,248.99,0.319
mixed,2,1,0.5,4.0,16,512,512,2048,1280,322.846,430.432,427.232,0.9703
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,501.055,719.294,714.782,0.9793
mixed,2,1,0.5,4.0,16,1024,128,512,320,250.815,285.76,231.328,-0.5576
mixed,2,1,0.5,4.0,16,1024,256,1024,640,303.84,357.759,249.791,-1.0024
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,396.349,502.432,428.287,0.3011
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,574.301,791.582,783.452,0.9626
mixed,2,1,0.5,4.0,16,2048,128,512,320,395.04,428.509,374.75,-0.6062
mixed,2,1,0.5,4.0,16,2048,256,1024,640,446.175,501.919,394.465,-0.9276
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,535.2,648.318,429.471,-0.9347
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,722.461,939.256,784.796,0.2875
mixed,2,1,0.5,4.0,32,0,128,512,320,106.783,141.501,141.215,0.9918
mixed,2,1,0.5,4.0,32,0,256,1024,640,160.224,215.967,212.544,0.9386
mixed,2,1,0.5,4.0,32,0,512,2048,1280,249.918,358.591,357.6,0.9909
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,429.566,649.18,641.309,0.9642
mixed,2,1,0.5,4.0,32,512,128,512,320,179.485,213.695,160.766,-0.5472
