prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.518
0,0,1,32,14.549
0,0,1,64,14.6763
0,0,1,128,19.85
0,0,1,256,20.075
0,0,1,512,20.566
0,0,1,1024,21.312
0,0,1,2048,23.3803
0,0,1,4096,27.317
0,0,1,8192,42.4643
0,0,1,16384,61.505
0,0,1,32768,90.9987
0,0,1,40960,97.953
0,0,2,16,20.256
0,0,2,32,20.3097
0,0,2,64,20.448
0,0,2,128,23.946
0,0,2,256,24.1817
0,0,2,512,24.6933
0,0,2,1024,25.9743
0,0,2,2048,28.6717
0,0,2,4096,41.3007
0,0,2,8192,56.4387
0,0,2,16384,83.9577
0,0,2,32768,134.411
0,0,2,40960,148.279
0,0,4,16,20.16
0,0,4,32,20.2353
0,0,4,64,20.384
0,0,4,128,23.9047
0,0,4,256,24.225
0,0,4,512,25.088
0,0,4,1024,27.0513
0,0,4,2048,38.3993
0,0,4,4096,53.4397
0,0,4,8192,79.147
0,0,4,16384,128.469
0,0,4,32768,217.174
0,0,4,40960,255.468
0,0,8,16,20.1073
0,0,8,32,20.0543
0,0,8,64,20.203
0,0,8,128,24.1493
0,0,8,256,24.7783
0,0,8,512,26.57
0,0,8,1024,37.2383
0,0,8,2048,51.4553
0,0,8,4096,77.0563
0,0,8,8192,126.668
0,0,8,16384,213.911
0,0,8,32768,388.834
0,0,8,40960,474.989
0,0,16,16,20.7473
0,0,16,32,20.7673
0,0,16,64,21.2057
0,0,16,128,24.768
0,0,16,256,32.395
0,0,16,512,37.5047
0,0,16,1024,51.3923
0,0,16,2048,76.7583
0,0,16,4096,115.126
0,0,16,8192,190.603
0,0,16,16384,354.914
0,0,16,32768,681.682
0,0,16,40960,848.362
0,0,32,16,20.9607
0,0,32,32,21.269
0,0,32,64,21.8663
0,0,32,128,33.674
0,0,32,256,45.878
0,0,32,512,57.0777
0,0,32,1024,80.801
0,0,32,2048,129.92
0,0,32,4096,207.254
0,0,32,8192,360.844
0,0,32,16384,685.721
0,0,32,32768,1337.72
0,0,32,40960,1664.12
0,0,64,16,28.9923
0,0,64,32,29.4303
0,0,64,64,30.4107
0,0,64,128,42.069
0,0,64,256,55.8723
0,0,64,512,93.2377
0,0,64,1024,136.043
0,0,64,2048,220.384
0,0,64,4096,382.498
0,0,64,8192,699.224
0,0,64,16384,1343.21
0,0,64,32768,2630.58
0,0,64,40960,3280.57
0,0,128,16,45.7807
0,0,128,32,46.3147
0,0,128,64,47.979
0,0,128,128,70.9873
0,0,128,256,97.504
0,0,128,512,148.203
0,0,128,1024,248.855
0,0,128,2048,450.648
0,0,128,4096,849.507
0,0,128,8192,1664.36
0,0,128,16384,3261.06
0,0,128,32768,6474.27
0,0,128,40960,8085.18
0,0,256,16,73.8347
0,0,256,32,75.8933
0,0,256,64,77.953
0,0,256,128,117.697
0,0,256,256,162.742
0,0,256,512,252.14
0,0,256,1024,430.038
0,0,256,2048,783.972
0,0,256,4096,1486.89
0,0,256,8192,2913.17
0,0,256,16384,5725.25
0,0,256,32768,11394.1
0,0,256,40960,14166.9
16,0,0,0,14.539
16,0,1,16,14.6443
16,0,1,32,14.635
16,0,1,64,14.6453
16,0,1,128,19.563
16,0,1,256,25.462
16,0,1,512,37.409
16,0,1,1024,61.5253
16,0,1,2048,109.664
16,0,1,4096,206.39
16,0,1,8192,400.354
16,0,1,16384,786.104
16,0,1,32768,1560.4
16,0,1,40960,1944.04
16,0,2,16,14.5703
16,0,2,32,14.6027
16,0,2,64,14.688
16,0,2,128,19.6587
16,0,2,256,25.6533
16,0,2,512,37.643
16,0,2,1024,61.7273
16,0,2,2048,110.038
16,0,2,4096,206.838
16,0,2,8192,401.142
16,0,2,16384,787.171
16,0,2,32768,1559.89
16,0,2,40960,1948.23
16,0,4,16,14.8593
16,0,4,32,14.858
16,0,4,64,14.827
16,0,4,128,19.8187
16,0,4,256,25.814
16,0,4,512,37.7817
16,0,4,1024,62.4753
16,0,4,2048,111.221
16,0,4,4096,208.63
16,0,4,8192,401.527
16,0,4,16384,788.356
16,0,4,32768,1562.34
16,0,4,40960,1948.28
16,0,8,16,22.7407
16,0,8,32,22.8373
16,0,8,64,23.1357
16,0,8,128,33.7497
16,0,8,256,45.9307
16,0,8,512,70.2513
16,0,8,1024,118.592
16,0,8,2048,216.246
16,0,8,4096,409.986
16,0,8,8192,797.699
16,0,8,16384,1571.23
16,0,8,32768,3119.85
16,0,8,40960,3896.46
16,0,16,16,38.305
16,0,16,32,38.496
16,0,16,64,38.944
16,0,16,128,60.704
16,0,16,256,84.6407
16,0,16,512,132.587
16,0,16,1024,229.92
16,0,16,2048,423.778
16,0,16,4096,809.614
16,0,16,8192,1577.44
16,0,16,16384,3112.34
16,0,16,32768,6186.09
16,0,16,40960,7725.99
16,0,32,16,61.749
16,0,32,32,62.4103
16,0,32,64,63.52
16,0,32,128,101.963
16,0,32,256,144.309
16,0,32,512,229.388
16,0,32,1024,401.186
16,0,32,2048,738.179
16,0,32,4096,1412.58
16,0,32,8192,2763.2
16,0,32,16384,5471.15
16,0,32,32768,10921.4
16,0,32,40960,13625.1
16,0,64,16,108.715
16,0,64,32,109.952
16,0,64,64,112.534
16,0,64,128,185.654
16,0,64,256,267.116
16,0,64,512,426.785
16,0,64,1024,748.067
16,0,64,2048,1382.61
16,0,64,4096,2664.94
16,0,64,8192,5259.86
16,0,64,16384,10454.7
16,0,64,32768,20829.8
16,0,64,40960,26062.8
16,0,128,16,209.099
16,0,128,32,211.243
16,0,128,64,216.502
16,0,128,128,370.796
16,0,128,256,534.595
16,0,128,512,847.95
16,0,128,1024,1475.65
16,0,128,2048,2738.75
16,0,128,4096,5256.44
16,0,128,8192,10343.5
16,0,128,16384,20489.7
16,0,128,32768,40817.6
16,0,128,40960,51085.3
16,16,0,0,14.7307
16,16,1,16,14.8157
16,16,1,32,14.8487
16,16,1,64,14.8907
16,16,1,128,19.6053
16,16,1,256,25.461
16,16,1,512,37.4297
16,16,1,1024,61.5573
16,16,1,2048,109.707
16,16,1,4096,206.54
16,16,1,8192,399.714
16,16,1,16384,786.947
16,16,1,32768,1559.66
16,16,1,40960,1946.07
16,16,2,16,14.8593
16,16,2,32,14.848
16,16,2,64,14.9867
16,16,2,128,19.6053
16,16,2,256,25.6107
16,16,2,512,37.5897
16,16,2,1024,61.654
16,16,2,2048,109.93
16,16,2,4096,207.136
16,16,2,8192,400.93
16,16,2,16384,787.566
16,16,2,32768,1558.08
16,16,2,40960,1946.94
16,16,4,16,15.0823
16,16,4,32,15.0933
16,16,4,64,15.1893
16,16,4,128,19.8397
16,16,4,256,25.8133
16,16,4,512,37.8773
16,16,4,1024,62.326
16,16,4,2048,111.115
16,16,4,4096,208.267
16,16,4,8192,402.039
16,16,4,16384,788.271
16,16,4,32768,1561.89
16,16,4,40960,1949.77
16,16,8,16,23.1037
16,16,8,32,23.307
16,16,8,64,23.4347
16,16,8,128,33.8883
16,16,8,256,46.0587
16,16,8,512,70.1547
16,16,8,1024,118.73
16,16,8,2048,216.096
16,16,8,4096,410.188
16,16,8,8192,796.951
16,16,8,16384,1570.54
16,16,8,32768,3121.33
16,16,8,40960,3896.96
16,16,16,16,38.464
16,16,16,32,38.7413
16,16,16,64,39.3067
16,16,16,128,60.6617
16,16,16,256,84.6187
16,16,16,512,132.832
16,16,16,1024,229.857
16,16,16,2048,423.084
16,16,16,4096,808.098
16,16,16,8192,1575.48
16,16,16,16384,3113.91
16,16,16,32768,6182.86
16,16,16,40960,7726.82
16,16,32,16,61.8563
16,16,32,32,62.251
16,16,32,64,63.691
16,16,32,128,102.069
16,16,32,256,144.502
16,16,32,512,229.494
16,16,32,1024,400.62
16,16,32,2048,737.954
16,16,32,4096,1413.92
16,16,32,8192,2763.34
16,16,32,16384,5474.9
16,16,32,32768,10905.3
16,16,32,40960,13632
16,16,64,16,108.8
16,16,64,32,109.953
16,16,64,64,112.758
16,16,64,128,185.644
16,16,64,256,266.785
16,16,64,512,426.754
16,16,64,1024,748.302
16,16,64,2048,1383.42
16,16,64,4096,2664.38
16,16,64,8192,5259.09
16,16,64,16384,10487.6
16,16,64,32768,20825.1
16,16,64,40960,26104.2
16,16,128,16,209.24
16,16,128,32,211.372
16,16,128,64,216.556
16,16,128,128,371.031
16,16,128,256,534.359
16,16,128,512,847.801
16,16,128,1024,1476.2
16,16,128,2048,2737
16,16,128,4096,5260.47
16,16,128,8192,10345.9
16,16,128,16384,20498.9
16,16,128,32768,40805.3
16,16,128,40960,51035.7
16,32,0,0,14.848
16,32,1,16,14.88
16,32,1,32,14.8483
16,32,1,64,14.976
16,32,1,128,19.5307
16,32,1,256,25.4187
16,32,1,512,37.333
16,32,1,1024,61.4937
16,32,1,2048,109.739
16,32,1,4096,205.974
16,32,1,8192,400.396
16,32,1,16384,785.229
16,32,1,32768,1560.02
16,32,1,40960,1948.06
16,32,2,16,14.88
16,32,2,32,14.945
16,32,2,64,14.9017
16,32,2,128,19.6797
16,32,2,256,25.6107
16,32,2,512,37.5787
16,32,2,1024,61.7167
16,32,2,2048,110.134
16,32,2,4096,206.859
16,32,2,8192,400.61
16,32,2,16384,786.819
16,32,2,32768,1558.01
16,32,2,40960,1948.41
16,32,4,16,15.1147
16,32,4,32,15.1463
16,32,4,64,15.264
16,32,4,128,19.8507
16,32,4,256,25.824
16,32,4,512,37.8343
16,32,4,1024,62.4
16,32,4,2048,111.126
16,32,4,4096,208.501
16,32,4,8192,402.412
16,32,4,16384,788.696
16,32,4,32768,1561.61
16,32,4,40960,1950.29
16,32,8,16,23.0723
16,32,8,32,23.2107
16,32,8,64,23.7013
16,32,8,128,33.877
16,32,8,256,46.2083
16,32,8,512,70.239
16,32,8,1024,118.517
16,32,8,2048,216.022
16,32,8,4096,409.644
16,32,8,8192,797.176
16,32,8,16384,1570.54
16,32,8,32768,3120.01
16,32,8,40960,3894.61
16,32,16,16,38.4107
16,32,16,32,38.7083
16,32,16,64,39.4133
16,32,16,128,60.5663
16,32,16,256,84.5653
16,32,16,512,132.332
16,32,16,1024,229.921
16,32,16,2048,423.201
16,32,16,4096,807.939
16,32,16,8192,1575.56
16,32,16,16384,3110.98
16,32,16,32768,6185.74
16,32,16,40960,7728.47
16,32,32,16,61.8027
16,32,32,32,62.4217
16,32,32,64,63.7547
16,32,32,128,101.952
16,32,32,256,144.534
16,32,32,512,229.27
16,32,32,1024,401.058
16,32,32,2048,738.307
16,32,32,4096,1412.49
16,32,32,8192,2763.5
16,32,32,16384,5470.57
16,32,32,32768,10907.3
16,32,32,40960,13630.1
16,32,64,16,108.843
16,32,64,32,110.21
16,32,64,64,112.588
16,32,64,128,185.376
16,32,64,256,267.105
16,32,64,512,426.818
16,32,64,1024,747.971
16,32,64,2048,1382.85
16,32,64,4096,2667.6
16,32,64,8192,5261.54
16,32,64,16384,10463.3
16,32,64,32768,20819.8
16,32,64,40960,26030
16,32,128,16,208.747
16,32,128,32,210.945
16,32,128,64,216.47
16,32,128,128,371.009
16,32,128,256,534.135
16,32,128,512,847.843
16,32,128,1024,1477.31
16,32,128,2048,2739.79
16,32,128,4096,5257.49
16,32,128,8192,10342.5
16,32,128,16384,20506.7
16,32,128,32768,40830.9
16,32,128,40960,51032.1
16,64,0,0,14.9227
16,64,1,16,15.019
16,64,1,32,14.9963
16,64,1,64,15.0723
16,64,1,128,19.542
16,64,1,256,25.4407
16,64,1,512,37.3337
16,64,1,1024,61.4617
16,64,1,2048,109.846
16,64,1,4096,206.208
16,64,1,8192,400.491
16,64,1,16384,785.944
16,64,1,32768,1557.11
16,64,1,40960,1945.1
16,64,2,16,14.88
16,64,2,32,14.8907
16,64,2,64,15.008
