layer,sequences,time_us
lm_head,1,261.8
lm_head,2,263.773
lm_head,3,263.773
lm_head,4,263.133
lm_head,5,264.349
lm_head,6,265.49
lm_head,7,276.584
lm_head,8,277.853
lm_head,9,278.632
lm_head,10,278.887
lm_head,11,280.136
lm_head,12,280.104
lm_head,13,280.936
lm_head,14,281.298
lm_head,15,281.629
lm_head,16,283.955
lm_head,20,243.676
lm_head,24,246.012
lm_head,28,248.508
lm_head,32,241.521
lm_head,36,242.982
lm_head,40,244.134
lm_head,44,244.679
lm_head,48,245.233
lm_head,52,246.119
lm_head,56,247.174
lm_head,60,248.444
lm_head,64,246.918
lm_head,80,407.766
lm_head,96,409.664
lm_head,112,410.518
lm_head,128,411.52
lm_head,144,627.644
lm_head,160,628.337
lm_head,176,628.742
lm_head,192,807.178
lm_head,208,807.488
lm_head,224,808.149
lm_head,240,809.418
lm_head,256,810.656
sampler,1,13.8023
sampler,2,13.8133
sampler,3,14.2187
sampler,4,15.8187
sampler,5,17.515
sampler,6,20.8433
sampler,7,23.7973
sampler,8,24.3313
sampler,9,26.9443
sampler,10,29.014
sampler,11,30.8597
sampler,12,32.5337
sampler,13,34.912
sampler,14,38.2403
sampler,15,40.1827
sampler,16,41.8883
sampler,20,52.0333
sampler,24,60.1397
sampler,28,67.9477
sampler,32,76.15
sampler,36,83.4687
sampler,40,94.3583
sampler,44,102.711
sampler,48,111.265
sampler,52,116.311
sampler,56,123.031
sampler,60,132.333
sampler,64,142.093
sampler,80,168.643
sampler,96,205.464
sampler,112,225.262
sampler,128,268.836
sampler,144,294.373
sampler,160,319.984
sampler,176,341.936
sampler,192,368.635
sampler,208,397.03
sampler,224,425.286
sampler,240,454.716
sampler,256,511.24
