pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,-0.0218,2
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1074,2
0,n<=128,sr<=15%,kvB<=32k,kp=0,-0.0147,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0096,2
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.117,1
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1534,1
0,n<=128,sr<=40%,kvB<=32k,kp=0,-0.1095,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.1333,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.058,4
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.1068,4
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.0611,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0276,4
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.3045,1
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.1387,1
0,n<=128,sr<=70%,kvB<=32k,kp=0,-0.3343,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.2485,1
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.5787,2
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1459,2
0,n<=128,sr>70%,kvB<=32k,kp=0,-0.6015,2
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.6394,2
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1877,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.163,2
0,n<=16,sr<=15%,kvB<=32k,kp=0,0.2403,2
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2825,2
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0232,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.3336,2
0,n<=16,sr<=40%,kvB<=32k,kp=0,0.1202,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.059,2
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.1066,1
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.2983,1
0,n<=16,sr<=70%,kvB<=32k,kp=0,-0.0246,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.045,1
0,n<=16,sr>70%,kvB<=16k,kp=0,0.8189,2
0,n<=16,sr>70%,kvB<=1k,kp=0,0.0396,2
0,n<=16,sr>70%,kvB<=32k,kp=0,0.9096,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.8546,2
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.2434,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,7.6273,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,-0.0002,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.6211,1
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0248,2
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0508,2
0,n<=256,sr<=15%,kvB<=32k,kp=0,-0.025,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0222,2
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.069,1
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1485,1
0,n<=256,sr<=40%,kvB<=32k,kp=0,-0.0742,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0484,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0008,4
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0254,4
0,n<=256,sr<=5%,kvB<=32k,kp=0,-0.0062,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0017,4
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.1347,1
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1202,1
0,n<=256,sr<=70%,kvB<=32k,kp=0,-0.1443,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.1376,1
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.3497,2
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0226,2
0,n<=256,sr>70%,kvB<=32k,kp=0,-0.3974,2
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.338,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1737,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.0117,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0649,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0331,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2801,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,-0.0097,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0061,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,-0.0027,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0597,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.0323,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1061,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.1217,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.1053,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,-0.028,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.2832,1
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0535,2
0,n<=32,sr>70%,kvB<=1k,kp=0,0.7143,2
0,n<=32,sr>70%,kvB<=32k,kp=0,0.1031,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0299,2
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.027,1
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.384,3
0,n<=4,sr<=40%,kvB<=32k,kp=0,0.0505,1
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.1819,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.9868,1
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.3876,1
0,n<=4,sr<=70%,kvB<=32k,kp=0,0.0492,1
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.3718,1
0,n<=4,sr>70%,kvB<=16k,kp=0,0.7957,1
0,n<=4,sr>70%,kvB<=1k,kp=0,0.403,1
0,n<=4,sr>70%,kvB<=32k,kp=0,0.9091,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.3852,1
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0025,2
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.3861,2
0,n<=64,sr<=15%,kvB<=32k,kp=0,0.0069,2
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0188,2
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0028,1
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.5938,1
0,n<=64,sr<=40%,kvB<=32k,kp=0,-0.0007,1
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0297,1
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0047,3
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.3466,3
0,n<=64,sr<=5%,kvB<=32k,kp=0,0.0065,3
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.018,3
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0564,1
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.7696,1
0,n<=64,sr<=70%,kvB<=32k,kp=0,-0.0167,1
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.1104,1
0,n<=64,sr>70%,kvB<=16k,kp=0,0.1025,2
0,n<=64,sr>70%,kvB<=1k,kp=0,1.3308,2
0,n<=64,sr>70%,kvB<=32k,kp=0,0.0542,2
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0978,2
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1731,1
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1846,1
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.2177,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1919,1
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.046,2
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.2098,2
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.001,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.3033,2
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.099,1
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.1437,1
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.0348,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.667,1
0,n<=8,sr>70%,kvB<=16k,kp=0,0.8747,2
0,n<=8,sr>70%,kvB<=1k,kp=0,0.4529,2
0,n<=8,sr>70%,kvB<=32k,kp=0,0.9411,2
0,n<=8,sr>70%,kvB<=4k,kp=0,2.4446,2
16,n<=128,sr<=15%,kvB<=16k,kp<=20k,-0.005,2
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0196,2
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0179,2
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.002,2
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0157,2
16,n<=128,sr<=15%,kvB<=1k,kp<=20k,0.0678,2
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0699,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.076,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0745,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0712,2
16,n<=128,sr<=15%,kvB<=32k,kp<=20k,0.0334,2
16,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.0187,2
16,n<=128,sr<=15%,kvB<=32k,kp<=512,0.0175,2
16,n<=128,sr<=15%,kvB<=32k,kp<=8k,0.0213,2
16,n<=128,sr<=15%,kvB<=32k,kp=0,0.0176,2
16,n<=128,sr<=15%,kvB<=4k,kp<=20k,0.0372,2
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0291,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0578,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0391,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0564,2
16,n<=128,sr<=40%,kvB<=16k,kp<=20k,-0.0122,1
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0022,1
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0007,1
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.0023,1
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0012,1
16,n<=128,sr<=40%,kvB<=1k,kp<=20k,0.2189,1
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.226,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1843,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.227,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1805,1
16,n<=128,sr<=40%,kvB<=32k,kp<=20k,0.0053,1
16,n<=128,sr<=40%,kvB<=32k,kp<=2k,0.0043,1
16,n<=128,sr<=40%,kvB<=32k,kp<=512,0.0064,1
16,n<=128,sr<=40%,kvB<=32k,kp<=8k,0.0053,1
16,n<=128,sr<=40%,kvB<=32k,kp=0,0.0059,1
16,n<=128,sr<=40%,kvB<=4k,kp<=20k,0.0098,1
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,0.0133,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0108,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0117,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0114,1
16,n<=128,sr<=5%,kvB<=16k,kp<=20k,0.0043,4
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0377,4
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0371,4
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,-0.0014,4
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0369,4
16,n<=128,sr<=5%,kvB<=1k,kp<=20k,-0.0025,4
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,-0.0035,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0106,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0017,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0086,4
16,n<=128,sr<=5%,kvB<=32k,kp<=20k,0.0309,4
16,n<=128,sr<=5%,kvB<=32k,kp<=2k,0.0325,4
16,n<=128,sr<=5%,kvB<=32k,kp<=512,0.0325,4
16,n<=128,sr<=5%,kvB<=32k,kp<=8k,0.0326,4
16,n<=128,sr<=5%,kvB<=32k,kp=0,0.0321,4
16,n<=128,sr<=5%,kvB<=4k,kp<=20k,0.0148,4
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0023,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0364,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0148,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0367,4
16,n<=128,sr<=70%,kvB<=16k,kp<=20k,0.0118,1
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0279,1
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0345,1
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0195,1
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0392,1
16,n<=128,sr<=70%,kvB<=1k,kp<=20k,0.2349,1
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.2092,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.1941,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.253,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.18,1
16,n<=128,sr<=70%,kvB<=32k,kp<=20k,-0.0289,1
16,n<=128,sr<=70%,kvB<=32k,kp<=2k,-0.0343,1
16,n<=128,sr<=70%,kvB<=32k,kp<=512,-0.0317,1
16,n<=128,sr<=70%,kvB<=32k,kp<=8k,-0.0304,1
16,n<=128,sr<=70%,kvB<=32k,kp=0,-0.0372,1
16,n<=128,sr<=70%,kvB<=4k,kp<=20k,0.0436,1
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0159,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0206,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0012,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0328,1
16,n<=128,sr>70%,kvB<=16k,kp<=20k,-0.0713,2
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.0555,2
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.0448,2
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.067,2
16,n<=128,sr>70%,kvB<=16k,kp=0,0.0446,2
16,n<=128,sr>70%,kvB<=1k,kp<=20k,0.3897,2
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.3061,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.3786,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.4034,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.3748,2
16,n<=128,sr>70%,kvB<=32k,kp<=20k,0.0519,2
16,n<=128,sr>70%,kvB<=32k,kp<=2k,0.039,2
16,n<=128,sr>70%,kvB<=32k,kp<=512,0.0436,2
16,n<=128,sr>70%,kvB<=32k,kp<=8k,0.0433,2
16,n<=128,sr>70%,kvB<=32k,kp=0,0.0341,2
16,n<=128,sr>70%,kvB<=4k,kp<=20k,0.1141,2
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.1181,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.1066,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0115,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.1019,2
16,n<=16,sr<=15%,kvB<=16k,kp<=20k,-0.0933,2
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.4383,2
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.434,2
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.091,2
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.4346,2
16,n<=16,sr<=15%,kvB<=1k,kp<=20k,0.1174,2
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,-0.0032,2
16,n<=16,sr<=15%,kvB<=1k,kp<=512,-0.0254,2
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0436,2
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.4562,2
16,n<=16,sr<=15%,kvB<=32k,kp<=20k,0.2864,2
16,n<=16,sr<=15%,kvB<=32k,kp<=2k,0.4446,2
16,n<=16,sr<=15%,kvB<=32k,kp<=512,0.4453,2
16,n<=16,sr<=15%,kvB<=32k,kp<=8k,0.4448,2
16,n<=16,sr<=15%,kvB<=32k,kp=0,0.4463,2
16,n<=16,sr<=15%,kvB<=4k,kp<=20k,-0.0147,2
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0511,2
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.4617,2
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0356,2
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.4566,2
16,n<=16,sr<=40%,kvB<=16k,kp<=20k,-0.2679,2
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.3549,2
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.3561,2
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,-0.2498,2
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.3565,2
16,n<=16,sr<=40%,kvB<=1k,kp<=20k,-0.0938,2
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.0287,2
16,n<=16,sr<=40%,kvB<=1k,kp<=512,-0.032,2
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.0122,2
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4534,2
16,n<=16,sr<=40%,kvB<=32k,kp<=20k,0.2204,2
16,n<=16,sr<=40%,kvB<=32k,kp<=2k,0.3588,2
16,n<=16,sr<=40%,kvB<=32k,kp<=512,0.3609,2
16,n<=16,sr<=40%,kvB<=32k,kp<=8k,0.3581,2
