regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,58.209,59.742,59.456,0.8134
pure,2,1,0.5,4.0,0,0,512,2048,1280,63.713,69.054,67.294,0.6705
pure,2,1,0.5,4.0,0,0,2048,8192,5120,88.067,125.473,99.33,0.3011
pure,2,1,0.5,4.0,0,0,8192,32768,20480,217.634,267.041,182.882,-0.7034
mixed,2,1,0.5,4.0,16,0,128,512,320,76.129,110.113,109.377,0.9783
mixed,2,1,0.5,4.0,16,0,512,2048,1280,217.058,327.556,325.54,0.9818
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,762.123,1196.177,1194.514,0.9962
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,2932.036,4675.01,4681.474,1.0037
mixed,2,1,0.5,4.0,16,512,128,512,320,110.113,111.106,110.049,-0.0645
mixed,2,1,0.5,4.0,16,512,512,2048,1280,218.531,327.622,327.589,0.9997
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,763.561,1200.591,1196.333,0.9903
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,2945.448,4684.481,4672.513,0.9931
mixed,2,1,0.5,4.0,16,2048,128,512,320,327.813,328.613,327.716,-0.1212
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,329.412,330.243,329.089,-0.3887
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,763.881,1200.337,1196.303,0.9908
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,2945.961,4683.676,4675.709,0.9954
mixed,2,1,0.5,4.0,16,8192,128,512,320,1199.41,1199.696,1199.6,0.6643
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1200.207,1196.847,1196.336,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1197.425,1201.266,1200.974,0.924
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,2947.171,4689.566,4677.66,0.9932
mixed,2,1,0.5,4.0,16,20480,128,512,320,2941.031,2942.978,2942.982,1.0021
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,2941.802,2940.166,2938.408,
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,2937.832,2935.307,2935.303,
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,2947.687,4689.216,4679.577,0.9945
mixed,2,1,0.5,4.0,32,0,128,512,320,76.545,110.466,109.858,0.9821
mixed,2,1,0.5,4.0,32,0,512,2048,1280,217.667,327.556,325.922,0.9851
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,761.29,1199.376,1199.184,0.9996
mixed,2,1,0.5,4.0,32,0,8192,32768,20480,2945.222,4687.678,4687.102,0.9997
mixed,2,1,0.5,4.0,32,512,128,512,320,110.753,111.809,110.755,0.0019
mixed,2,1,0.5,4.0,32,512,512,2048,1280,218.307,328.004,327.651,0.9968
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,763.596,1200.303,1200.272,0.9999
mixed,2,1,0.5,4.0,32,512,8192,32768,20480,2947.046,4691.36,4690.719,0.9996
mixed,2,1,0.5,4.0,32,2048,128,512,320,328.55,329.54,328.453,-0.098
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,329.669,330.18,329.891,0.4344
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,763.659,1198.706,1198.032,0.9985
mixed,2,1,0.5,4.0,32,2048,8192,32768,20480,2942.92,4687.327,4687.55,1.0001
mixed,2,1,0.5,4.0,32,8192,128,512,320,1198.894,1198.958,1198.736,-2.4687
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,1198.862,1199.664,1199.121,0.3229
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,1200.561,1200.431,1202.063,
mixed,2,1,0.5,4.0,32,8192,8192,32768,20480,2946.408,4687.936,4688.027,1.0001
mixed,2,1,0.5,4.0,32,20480,128,512,320,2940.965,2943.301,2943.655,1.1515
mixed,2,1,0.5,4.0,32,20480,512,2048,1280,2944.455,2945.509,2945.605,1.0911
mixed,2,1,0.5,4.0,32,20480,2048,8192,5120,2945.126,2943.114,2943.016,
mixed,2,1,0.5,4.0,32,20480,8192,32768,20480,2947.714,4690.428,4686.623,0.9978
mixed,2,1,0.5,4.0,64,0,128,512,320,76.545,110.723,109.858,0.9747
mixed,2,1,0.5,4.0,64,0,512,2048,1280,219.041,328.132,327.557,0.9947
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,763.593,1199.793,1199.47,0.9993
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,2945.316,4688.252,4687.099,0.9993
mixed,2,1,0.5,4.0,64,512,128,512,320,114.241,113.699,113.953,
mixed,2,1,0.5,4.0,64,512,512,2048,1280,219.075,327.748,327.813,1.0006
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,763.082,1200.911,1199.311,0.9963
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,2945.891,4690.43,4689.88,0.9997
mixed,2,1,0.5,4.0,64,2048,128,512,320,331.62,331.685,331.587,-0.5077
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,331.781,331.682,331.749,
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,763.753,1200.815,1200.208,0.9986
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,2947.298,4690.171,4689.818,0.9998
mixed,2,1,0.5,4.0,64,8192,128,512,320,1198.447,1197.936,1198.994,
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1198.896,1199.63,1199.665,1.0477
