prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.5497
0,0,1,32,14.5697
0,0,1,64,14.6767
0,0,1,128,20.0107
0,0,1,256,20.139
0,0,1,512,20.6617
0,0,1,1024,22.0163
0,0,1,2048,24.7777
0,0,1,4096,37.2053
0,0,1,8192,52.151
0,0,1,16384,80.0533
0,0,1,32768,130.617
0,0,2,16,20.3197
0,0,2,32,20.3943
0,0,2,64,20.47
0,0,2,128,24.1807
0,0,2,256,24.4267
0,0,2,512,25.407
0,0,2,1024,27.4883
0,0,2,2048,38.7203
0,0,2,4096,54.059
0,0,2,8192,79.0523
0,0,2,16384,128.705
0,0,2,32768,216.007
0,0,4,16,20.1717
0,0,4,32,20.2457
0,0,4,64,20.4053
0,0,4,128,24.309
0,0,4,256,24.8003
0,0,4,512,26.6453
0,0,4,1024,37.3657
0,0,4,2048,51.317
0,0,4,4096,75.9893
0,0,4,8192,125.123
0,0,4,16384,212.779
0,0,4,32768,386.156
0,0,8,16,20.3317
0,0,8,32,20.4473
0,0,8,64,20.8113
0,0,8,128,24.7577
0,0,8,256,32.2997
0,0,8,512,36.886
0,0,8,1024,50.9123
0,0,8,2048,76.021
0,0,8,4096,114.145
0,0,8,8192,190.386
0,0,8,16384,353.281
0,0,8,32768,678.72
0,0,16,16,20.8857
0,0,16,32,21.2063
0,0,16,64,21.8027
0,0,16,128,33.451
0,0,16,256,45.632
0,0,16,512,56.1713
0,0,16,1024,79.679
0,0,16,2048,128.49
0,0,16,4096,205.516
0,0,16,8192,357.995
0,0,16,16384,678.574
0,0,16,32768,1328.5
0,0,32,16,28.9493
0,0,32,32,29.451
0,0,32,64,30.4327
0,0,32,128,41.5367
0,0,32,256,55.072
0,0,32,512,90.9017
0,0,32,1024,132.715
0,0,32,2048,215.659
0,0,32,4096,376.332
0,0,32,8192,694.88
0,0,32,16384,1331.43
0,0,32,32768,2606.33
0,0,64,16,44.62
0,0,64,32,45.1413
0,0,64,64,46.261
0,0,64,128,69.664
0,0,64,256,95.4353
0,0,64,512,145.878
0,0,64,1024,247.148
0,0,64,2048,449.068
0,0,64,4096,854.968
0,0,64,8192,1661.21
0,0,64,16384,3254.74
0,0,64,32768,6495.69
0,0,128,16,70.3683
0,0,128,32,71.7123
0,0,128,64,74.059
0,0,128,128,114.358
0,0,128,256,159.105
0,0,128,512,248.129
0,0,128,1024,426.593
0,0,128,2048,780.216
0,0,128,4096,1494.85
0,0,128,8192,2916.25
0,0,128,16384,5725.08
0,0,128,32768,11450.1
0,0,256,16,124.747
0,0,256,32,126.518
0,0,256,64,131.148
0,0,256,128,204.47
0,0,256,256,286.817
0,0,256,512,451.298
0,0,256,1024,781.517
0,0,256,2048,1439.64
0,0,256,4096,2769.27
0,0,256,8192,5420.51
0,0,256,16384,10669.5
0,0,256,32768,21323.1
16,0,0,0,14.667
16,0,1,16,14.752
16,0,1,32,14.6983
16,0,1,64,14.731
16,0,1,128,19.6157
16,0,1,256,25.5893
16,0,1,512,37.5257
16,0,1,1024,61.664
16,0,1,2048,110.092
16,0,1,4096,206.518
16,0,1,8192,399.5
16,0,1,16384,783.395
16,0,1,32768,1554.19
16,0,2,16,14.7523
16,0,2,32,14.7413
16,0,2,64,14.7413
16,0,2,128,19.9037
16,0,2,256,25.8777
16,0,2,512,37.8773
16,0,2,1024,62.0907
16,0,2,2048,110.678
16,0,2,4096,207.67
16,0,2,8192,400.141
16,0,2,16384,784.803
16,0,2,32768,1560.98
16,0,4,16,14.9657
16,0,4,32,14.9543
16,0,4,64,14.955
16,0,4,128,20.0533
16,0,4,256,26.176
16,0,4,512,38.2723
16,0,4,1024,62.592
16,0,4,2048,111.883
16,0,4,4096,208.619
16,0,4,8192,401.506
16,0,4,16384,786.136
16,0,4,32768,1561.5
16,0,8,16,23.0403
16,0,8,32,23.1577
16,0,8,64,23.3813
16,0,8,128,34.1757
16,0,8,256,46.5817
16,0,8,512,70.5393
16,0,8,1024,119.446
16,0,8,2048,216.896
16,0,8,4096,411.19
16,0,8,8192,797.134
16,0,8,16384,1570.55
16,0,8,32768,3115.97
16,0,16,16,38.7207
16,0,16,32,38.9233
16,0,16,64,39.4243
16,0,16,128,61.2273
16,0,16,256,85.4933
16,0,16,512,134.048
16,0,16,1024,230.997
16,0,16,2048,424.62
16,0,16,4096,807.405
16,0,16,8192,1577.74
16,0,16,16384,3109.66
16,0,16,32768,6181.4
16,0,32,16,62.475
16,0,32,32,63.136
16,0,32,64,64.202
16,0,32,128,102.806
16,0,32,256,145.216
16,0,32,512,229.9
16,0,32,1024,402.337
16,0,32,2048,739.714
16,0,32,4096,1417.25
16,0,32,8192,2767.64
16,0,32,16384,5481.82
16,0,32,32768,10944.9
16,0,64,16,109.707
16,0,64,32,110.848
16,0,64,64,113.612
16,0,64,128,186.87
16,0,64,256,267.905
16,0,64,512,428.407
16,0,64,1024,750.476
16,0,64,2048,1389.68
16,0,64,4096,2679.43
16,0,64,8192,5298.78
16,0,64,16384,10508.9
16,0,64,32768,20964.2
16,0,128,16,210.624
16,0,128,32,212.886
16,0,128,64,217.878
16,0,128,128,371.681
16,0,128,256,534.391
16,0,128,512,849.709
16,0,128,1024,1483.53
16,0,128,2048,2749.49
16,0,128,4096,5297.33
16,0,128,8192,10430.4
16,0,128,16384,20593.1
16,0,128,32768,41152.8
16,16,0,0,14.8057
16,16,1,16,14.955
16,16,1,32,14.923
16,16,1,64,14.9337
16,16,1,128,19.6163
16,16,1,256,25.5153
16,16,1,512,37.483
16,16,1,1024,61.7387
16,16,1,2048,110.208
16,16,1,4096,206.978
16,16,1,8192,397.462
16,16,1,16384,779.588
16,16,1,32768,1555.68
16,16,2,16,14.9867
16,16,2,32,15.0503
16,16,2,64,15.211
16,16,2,128,19.9363
16,16,2,256,25.8993
16,16,2,512,37.8457
16,16,2,1024,62.0697
16,16,2,2048,110.635
16,16,2,4096,207.414
16,16,2,8192,399.138
16,16,2,16384,783.769
16,16,2,32768,1557.13
16,16,4,16,15.1363
16,16,4,32,15.2637
16,16,4,64,15.3917
16,16,4,128,20.0107
16,16,4,256,26.3043
16,16,4,512,38.358
16,16,4,1024,62.6563
16,16,4,2048,111.873
16,16,4,4096,209.035
16,16,4,8192,400.535
16,16,4,16384,788.056
16,16,4,32768,1559.9
16,16,8,16,23.3073
16,16,8,32,23.4457
16,16,8,64,23.9037
16,16,8,128,34.2833
16,16,8,256,46.7623
16,16,8,512,71.018
16,16,8,1024,119.979
16,16,8,2048,217.174
16,16,8,4096,410.807
16,16,8,8192,796.323
16,16,8,16384,1571.05
16,16,8,32768,3117.79
16,16,16,16,38.8597
16,16,16,32,39.3073
16,16,16,64,40.032
16,16,16,128,61.494
16,16,16,256,85.5797
16,16,16,512,134.209
16,16,16,1024,231.052
16,16,16,2048,424.107
16,16,16,4096,809.197
16,16,16,8192,1577.19
16,16,16,16384,3109.87
16,16,16,32768,6199.73
16,16,32,16,62.56
16,16,32,32,63.157
16,16,32,64,64.3517
16,16,32,128,102.987
16,16,32,256,145.451
16,16,32,512,229.804
16,16,32,1024,402.145
16,16,32,2048,740.065
16,16,32,4096,1415.3
16,16,32,8192,2769.53
16,16,32,16384,5486.28
16,16,32,32768,10935.3
16,16,64,16,109.824
16,16,64,32,111.051
16,16,64,64,113.557
16,16,64,128,186.784
16,16,64,256,268.267
16,16,64,512,428.129
16,16,64,1024,750.648
16,16,64,2048,1388.95
16,16,64,4096,2679.93
16,16,64,8192,5299.47
16,16,64,16384,10505.3
16,16,64,32768,20996.6
16,16,128,16,210.828
16,16,128,32,213.142
16,16,128,64,218.038
16,16,128,128,371.489
16,16,128,256,534.903
16,16,128,512,850.423
16,16,128,1024,1482.03
16,16,128,2048,2748.1
16,16,128,4096,5308.21
16,16,128,8192,10408
16,16,128,16384,20589.3
16,16,128,32768,41159.3
16,32,0,0,14.8693
16,32,1,16,14.9977
16,32,1,32,14.9763
16,32,1,64,15.0297
16,32,1,128,19.6587
16,32,1,256,25.5043
16,32,1,512,37.5363
16,32,1,1024,61.7493
16,32,1,2048,110.101
16,32,1,4096,206.677
16,32,1,8192,397.793
16,32,1,16384,784.163
16,32,1,32768,1555.59
16,32,2,16,14.9757
16,32,2,32,15.0297
16,32,2,64,15.1037
16,32,2,128,19.8827
16,32,2,256,25.8987
16,32,2,512,37.8997
16,32,2,1024,62.0697
16,32,2,2048,110.635
16,32,2,4096,207.542
16,32,2,8192,399.351
16,32,2,16384,784.802
16,32,2,32768,1558.52
16,32,4,16,15.1253
16,32,4,32,15.3177
16,32,4,64,15.3817
16,32,4,128,20.181
16,32,4,256,26.24
16,32,4,512,38.2927
16,32,4,1024,63.4027
16,32,4,2048,111.691
16,32,4,4096,208.694
16,32,4,8192,400.972
16,32,4,16384,786.573
16,32,4,32768,1563.37
16,32,8,16,23.37
16,32,8,32,23.4987
16,32,8,64,23.893
16,32,8,128,34.198
