layer,tokens,time_us
act_fn,1,2.74133
act_fn,2,2.74167
act_fn,3,2.73067
act_fn,4,2.752
act_fn,5,2.77333
act_fn,6,2.79467
act_fn,7,2.75267
act_fn,8,2.80533
act_fn,9,2.77333
act_fn,10,2.81633
act_fn,11,2.806
act_fn,12,2.784
act_fn,13,2.78433
act_fn,14,2.81567
act_fn,15,2.80567
act_fn,16,2.838
act_fn,20,3.072
act_fn,24,3.12533
act_fn,28,3.15733
act_fn,32,3.168
act_fn,36,3.211
act_fn,40,3.211
act_fn,44,3.2
act_fn,48,3.222
act_fn,52,3.168
act_fn,56,3.31733
act_fn,60,3.22167
act_fn,64,3.328
act_fn,80,3.17867
act_fn,96,3.79767
act_fn,112,3.84
act_fn,128,3.91467
act_fn,144,4.01067
act_fn,160,4.107
act_fn,176,4.49067
act_fn,192,4.50133
act_fn,208,4.726
act_fn,224,4.87467
act_fn,240,5.046
act_fn,256,5.51533
act_fn,272,5.462
act_fn,288,5.58967
act_fn,304,5.86667
act_fn,320,6.17667
act_fn,336,6.272
act_fn,352,6.667
act_fn,368,7.42467
act_fn,384,7.851
act_fn,400,9.01333
act_fn,416,9.27033
act_fn,432,9.462
act_fn,448,9.72833
act_fn,464,10.144
act_fn,480,10.23
act_fn,496,10.4963
act_fn,512,11.5633
act_fn,528,12.107
act_fn,544,12.844
act_fn,560,12.811
act_fn,576,13.6327
act_fn,592,14.1443
act_fn,608,14.39
act_fn,624,14.358
act_fn,640,15.0833
act_fn,656,15.563
act_fn,672,16.1823
act_fn,688,16.758
act_fn,704,17.4307
act_fn,720,17.8143
act_fn,736,18.358
act_fn,752,18.7317
act_fn,768,19.2757
act_fn,784,18.3583
act_fn,800,18.913
act_fn,816,20.417
act_fn,832,21.1103
act_fn,848,21.43
act_fn,864,21.7077
act_fn,880,22.081
act_fn,896,22.4973
act_fn,912,23.0843
act_fn,928,23.4893
act_fn,944,24.108
act_fn,960,22.892
act_fn,976,25.3027
act_fn,992,25.409
act_fn,1008,25.9747
act_fn,1024,26.0597
act_fn,1040,26.412
act_fn,1056,26.956
act_fn,1072,27.4893
act_fn,1088,28.151
act_fn,1104,28.2037
act_fn,1120,28.8437
act_fn,1136,29.3023
act_fn,1152,29.8573
act_fn,1168,28.1827
act_fn,1184,28.663
act_fn,1200,28.6947
act_fn,1216,29.271
act_fn,1232,29.676
act_fn,1248,29.954
act_fn,1264,30.4333
act_fn,1280,31.159
act_fn,1296,32.983
act_fn,1312,33.2927
act_fn,1328,33.751
act_fn,1344,34.167
act_fn,1360,33.0363
act_fn,1376,33.2603
act_fn,1392,33.9003
act_fn,1408,34.1777
act_fn,1424,36.1833
act_fn,1440,37.004
act_fn,1456,36.1303
act_fn,1472,38.1887
act_fn,1488,38.957
act_fn,1504,39.266
act_fn,1520,39.5967
act_fn,1536,39.7357
act_fn,1552,39.97
act_fn,1568,40.343
act_fn,1584,40.6637
act_fn,1600,41.1753
act_fn,1616,41.474
act_fn,1632,42.0073
act_fn,1648,42.434
act_fn,1664,42.658
act_fn,1680,42.498
act_fn,1696,42.9887
act_fn,1712,43.5327
act_fn,1728,43.9597
act_fn,1744,43.9807
act_fn,1760,44.9943
act_fn,1776,45.2717
act_fn,1792,45.8053
act_fn,1808,46.3917
act_fn,1824,46.6797
act_fn,1840,47.0637
act_fn,1856,47.704
act_fn,1872,48.1837
act_fn,1888,48.4717
act_fn,1904,48.7597
act_fn,1920,49.5063
act_fn,1936,49.4423
act_fn,1952,49.997
act_fn,1968,50.4133
act_fn,1984,50.68
act_fn,2000,51.427
act_fn,2016,51.992
act_fn,2032,51.832
act_fn,2048,52.6957
act_fn,2064,52.8027
act_fn,2080,53.0483
act_fn,2096,53.6557
act_fn,2112,54.1143
act_fn,2128,54.3597
act_fn,2144,54.915
act_fn,2160,55.3303
act_fn,2176,55.48
act_fn,2192,56.0773
act_fn,2208,56.1627
act_fn,2224,56.376
act_fn,2240,56.9843
act_fn,2256,57.5603
act_fn,2272,57.8163
act_fn,2288,58.4137
act_fn,2304,58.691
act_fn,2320,59.1063
act_fn,2336,59.64
act_fn,2352,59.7363
act_fn,2368,60.2803
act_fn,2384,60.835
act_fn,2400,61.1653
act_fn,2416,61.9017
act_fn,2432,62.2533
act_fn,2448,62.0727
act_fn,2464,62.7553
act_fn,2480,62.8727
act_fn,2496,63.4163
act_fn,2512,63.6403
act_fn,2528,64.3977
act_fn,2544,64.334
act_fn,2560,64.9633
act_fn,2576,65.6883
act_fn,2592,66.1367
act_fn,2608,66.0723
act_fn,2624,66.6483
act_fn,2640,67.0643
act_fn,2656,67.47
act_fn,2672,68.078
act_fn,2688,68.59
act_fn,2704,68.6647
act_fn,2720,69.5497
act_fn,2736,69.433
act_fn,2752,70.0943
act_fn,2768,70.2857
act_fn,2784,71.0117
act_fn,2800,70.9473
act_fn,2816,71.5443
act_fn,2832,71.598
act_fn,2848,72.27
act_fn,2864,73.1553
act_fn,2880,73.059
act_fn,2896,74.1367
act_fn,2912,73.9443
act_fn,2928,74.3287
act_fn,2944,74.7767
act_fn,2960,74.958
act_fn,2976,75.8117
act_fn,2992,75.8547
act_fn,3008,76.4947
act_fn,3024,76.5587
act_fn,3040,76.8037
act_fn,3056,77.6253
act_fn,3072,78.116
act_fn,3088,78.3507
act_fn,3104,78.2433
act_fn,3120,79.0757
act_fn,3136,79.2463
act_fn,3152,79.9073
act_fn,3168,80.2703
act_fn,3184,80.4517
act_fn,3200,80.729
act_fn,3216,81.22
act_fn,3232,81.6037
act_fn,3248,81.9343
act_fn,3264,82.244
act_fn,3280,82.7667
act_fn,3296,83.1507
act_fn,3312,83.5347
act_fn,3328,83.801
act_fn,3344,84.3347
act_fn,3360,84.697
act_fn,3376,85.2623
act_fn,3392,85.519
act_fn,3408,85.7533
act_fn,3424,86.351
act_fn,3440,86.4577
act_fn,3456,87.407
act_fn,3472,87.1293
act_fn,3488,87.8333
act_fn,3504,88.0893
act_fn,3520,88.7827
act_fn,3536,88.6977
act_fn,3552,89.5613
act_fn,3568,89.9987
act_fn,3584,90.1587
act_fn,3600,90.6497
act_fn,3616,91.055
act_fn,3632,91.5777
act_fn,3648,91.546
act_fn,3664,91.9937
act_fn,3680,92.047
act_fn,3696,92.4203
act_fn,3712,92.986
act_fn,3728,94.4467
act_fn,3744,94.244
act_fn,3760,95.418
act_fn,3776,94.81
act_fn,3792,95.8343
act_fn,3808,95.9937
act_fn,3824,96.506
act_fn,3840,96.922
act_fn,3856,94.106
act_fn,3872,94.4897
act_fn,3888,95.578
act_fn,3904,95.791
act_fn,3920,96.1647
act_fn,3936,97.797
act_fn,3952,98.0093
act_fn,3968,98.394
act_fn,3984,98.351
act_fn,4000,98.7033
act_fn,4016,99.141
act_fn,4032,99.1297
act_fn,4048,99.5033
act_fn,4064,100.186
act_fn,4080,100.815
down_proj,1,47.1067
down_proj,2,48.184
down_proj,3,48.6957
down_proj,4,49.261
down_proj,5,48.888
down_proj,6,48.877
down_proj,7,48.1733
down_proj,8,48.9093
down_proj,9,49.08
down_proj,10,49.08
down_proj,11,48.92
down_proj,12,48.461
down_proj,13,48.12
down_proj,14,48.3333
down_proj,15,49.1017
down_proj,16,49.8157
down_proj,20,47.3833
down_proj,24,47.4263
down_proj,28,47.651
down_proj,32,47.949
down_proj,36,62.5843
down_proj,40,62.905
down_proj,44,62.7983
down_proj,48,63.4063
down_proj,52,64.195
down_proj,56,64.0457
down_proj,60,52.3763
down_proj,64,49.0263
down_proj,80,101.275
down_proj,96,71.1187
down_proj,112,71.289
down_proj,128,71.3003
down_proj,144,144.584
down_proj,160,146.759
down_proj,176,141.053
down_proj,192,141.448
down_proj,208,178.772
down_proj,224,178.975
down_proj,240,179.519
down_proj,256,180.126
down_proj,272,204.181
down_proj,288,204.214
down_proj,304,204.918
down_proj,320,205.003
down_proj,336,205.024
down_proj,352,205.195
down_proj,368,205.259
down_proj,384,205.323
down_proj,400,269.497
down_proj,416,269.667
down_proj,432,269.475
down_proj,448,269.603
down_proj,464,269.859
down_proj,480,269.912
down_proj,496,269.987
down_proj,512,270.115
down_proj,528,339.154
down_proj,544,338.93
down_proj,560,339.121
down_proj,576,339.367
down_proj,592,339.228
down_proj,608,339.196
down_proj,624,341.618
down_proj,640,341.725
down_proj,656,406.09
