regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,54.945,77.282,75.78,0.9328
pure,2,1,0.5,4.0,0,0,512,2048,1280,150.565,224.361,222.248,0.9714
mixed,2,1,0.5,4.0,16,0,128,512,320,74.082,100.323,98.274,0.9219
mixed,2,1,0.5,4.0,16,0,512,2048,1280,169.127,245.449,243.594,0.9757
mixed,2,1,0.5,4.0,16,512,128,512,320,126.085,146.853,113.22,-0.6195
mixed,2,1,0.5,4.0,16,512,512,2048,1280,231.527,303.722,292.171,0.84
mixed,2,1,0.5,4.0,16,2048,128,512,320,268.874,291.754,256.137,-0.5567
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,371.725,448.431,299.628,-0.9399
mixed,2,1,0.5,4.0,64,0,128,512,320,80.963,101.763,100.932,0.96
mixed,2,1,0.5,4.0,64,0,512,2048,1280,173.8,246.538,244.36,0.9701
mixed,2,1,0.5,4.0,64,512,128,512,320,127.045,149.606,118.82,-0.3646
mixed,2,1,0.5,4.0,64,512,512,2048,1280,230.216,310.026,295.722,0.8208
mixed,2,1,0.5,4.0,64,2048,128,512,320,268.584,299.082,261.45,-0.2339
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,374.924,458.001,303.85,-0.8555
mixed,2,1,0.5,4.0,256,0,128,512,320,126.917,156.964,148.583,0.7211
mixed,2,1,0.5,4.0,256,0,512,2048,1280,244.968,315.115,299.658,0.7796
mixed,2,1,0.5,4.0,256,512,128,512,320,218.472,238.887,226.601,0.3982
mixed,2,1,0.5,4.0,256,512,512,2048,1280,317.642,443.76,380.109,0.4953
mixed,2,1,0.5,4.0,256,2048,128,512,320,500.243,522.449,494.256,-0.2696
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,597.685,670.167,587.22,-0.1444
mixed,2,1,0.5,4.0,1024,0,128,512,320,574.228,590.004,576.79,0.1624
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,675.863,790.683,740.473,0.5627
mixed,2,1,0.5,4.0,1024,512,128,512,320,894.271,908.864,897.535,0.2237
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,962.881,1072.099,1019.81,0.5212
mixed,2,1,0.5,4.0,1024,2048,128,512,320,1859.263,1867.967,1857.407,-0.2132
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,1913.598,1976.515,1911.936,-0.0264
mixed,2,1,0.5,4.0,2048,0,128,512,320,1687.162,1705.69,1690.136,0.1605
