prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.821
0,0,1,32,12.8853
0,0,1,64,13.0237
0,0,1,128,18.3573
0,0,1,256,24.192
0,0,1,512,36.1067
0,0,1,1024,59.8287
0,0,1,2048,107.263
0,0,2,16,12.8103
0,0,2,32,12.81
0,0,2,64,12.9383
0,0,2,128,18.3363
0,0,2,256,24.1597
0,0,2,512,36.074
0,0,2,1024,60.7037
0,0,2,2048,109.236
0,0,4,16,12.8207
0,0,4,32,12.96
0,0,4,64,12.992
0,0,4,128,18.667
0,0,4,256,24.5333
0,0,4,512,36.6713
0,0,4,1024,60.8743
0,0,4,2048,109.535
0,0,8,16,12.8747
0,0,8,32,12.9377
0,0,8,64,13.13
0,0,8,128,18.5387
0,0,8,256,24.5003
0,0,8,512,36.544
0,0,8,1024,60.9807
0,0,8,2048,109.471
0,0,16,16,12.9493
0,0,16,32,13.0123
0,0,16,64,13.312
0,0,16,128,19.04
0,0,16,256,24.9917
0,0,16,512,37.3967
0,0,16,1024,61.5893
0,0,16,2048,110.676
0,0,32,16,13.4927
0,0,32,32,13.8343
0,0,32,64,14.5603
0,0,32,128,19.584
0,0,32,256,26.3997
0,0,32,512,39.7863
0,0,32,1024,64.0523
0,0,32,2048,113.182
0,0,64,16,21.5673
0,0,64,32,21.9093
0,0,64,64,23.1137
0,0,64,128,34.4107
0,0,64,256,47.1463
0,0,64,512,72.1703
0,0,64,1024,122.442
0,0,64,2048,222.27
0,0,128,16,37.4607
0,0,128,32,37.8553
0,0,128,64,38.9547
0,0,128,128,61.632
0,0,128,256,87.22
0,0,128,512,138.058
0,0,128,1024,238.014
0,0,128,2048,440.572
0,0,256,16,62.496
0,0,256,32,63.114
0,0,256,64,65.162
0,0,256,128,104.479
0,0,256,256,149.545
0,0,256,512,238.344
0,0,256,1024,415.687
0,0,256,2048,769.486
0,0,512,16,114.165
0,0,512,32,116.329
0,0,512,64,118.548
0,0,512,128,191.55
0,0,512,256,274.974
0,0,512,512,440.529
0,0,512,1024,766.212
0,0,512,2048,1434.05
0,0,984,16,208.948
0,0,984,32,210.441
0,0,984,64,214.888
0,0,984,128,353.928
0,0,984,256,506.129
0,0,984,512,815.758
0,0,984,1024,1426.19
0,0,984,2048,2644.9
16,0,0,0,14.443
16,0,1,16,14.933
16,0,1,32,14.987
16,0,1,64,14.944
16,0,1,128,19.9253
16,0,1,256,25.9943
16,0,1,512,37.8133
16,0,1,1024,62.111
16,0,1,2048,110.549
16,0,2,16,15.0077
16,0,2,32,14.976
16,0,2,64,14.9653
16,0,2,128,19.904
16,0,2,256,25.9947
16,0,2,512,37.8883
16,0,2,1024,62.165
16,0,2,2048,110.623
16,0,4,16,14.827
16,0,4,32,14.8483
16,0,4,64,15.0083
16,0,4,128,19.8827
16,0,4,256,25.7063
16,0,4,512,37.7173
16,0,4,1024,62.0153
16,0,4,2048,110.463
16,0,8,16,14.5917
16,0,8,32,14.6027
16,0,8,64,14.6343
16,0,8,128,19.68
16,0,8,256,25.7267
16,0,8,512,37.632
16,0,8,1024,62.4423
16,0,8,2048,110.709
16,0,16,16,14.6347
16,0,16,32,14.6453
16,0,16,64,14.6663
16,0,16,128,19.8503
16,0,16,256,25.8773
16,0,16,512,38.005
16,0,16,1024,63.0717
16,0,16,2048,111.69
16,0,32,16,14.859
16,0,32,32,14.944
16,0,32,64,15.2207
16,0,32,128,20.1493
16,0,32,256,26.5597
16,0,32,512,40.0857
16,0,32,1024,64.725
16,0,32,2048,113.749
16,0,64,16,23.4127
16,0,64,32,23.7227
16,0,64,64,24.277
16,0,64,128,35.5203
16,0,64,256,48.32
16,0,64,512,73.5457
16,0,64,1024,123.711
16,0,64,2048,223.444
16,0,128,16,39.9037
16,0,128,32,40.224
16,0,128,64,41.12
16,0,128,128,63.53
