layer,sequences,time_us
lm_head,1,27.146
lm_head,2,36.1903
lm_head,3,36.17
lm_head,4,36.1273
lm_head,5,36.2023
lm_head,6,36.244
lm_head,7,36.223
lm_head,8,36.1913
lm_head,9,36.2127
lm_head,10,43.829
lm_head,11,43.743
lm_head,12,43.7003
lm_head,13,43.8393
lm_head,14,43.743
lm_head,15,43.8497
lm_head,16,43.743
lm_head,20,34.4847
lm_head,24,34.4527
lm_head,28,29.1083
lm_head,32,29.1833
lm_head,36,28.9913
lm_head,40,29.311
lm_head,44,29.535
lm_head,48,28.8843
lm_head,52,29.4827
lm_head,56,29.567
lm_head,60,31.381
lm_head,64,30.3247
lm_head,80,42.6767
lm_head,96,42.943
lm_head,112,45.3647
lm_head,128,45.098
lm_head,144,83.316
lm_head,160,83.3267
lm_head,176,65.9723
lm_head,192,83.4223
lm_head,208,83.9457
lm_head,224,83.9553
lm_head,240,83.849
lm_head,256,83.8383
lm_head,272,122.803
lm_head,288,122.803
lm_head,304,123.101
lm_head,320,123.155
lm_head,336,123.208
lm_head,352,123.261
lm_head,368,123.23
lm_head,384,123.315
lm_head,400,123.709
lm_head,416,123.677
lm_head,432,123.656
lm_head,448,123.742
lm_head,464,123.891
lm_head,480,123.891
lm_head,496,242.247
lm_head,512,242.31
lm_head,528,163.005
lm_head,544,163.026
lm_head,560,163.208
lm_head,576,163.122
lm_head,592,193.885
lm_head,608,194.194
lm_head,624,194.546
lm_head,640,241.18
lm_head,656,241.457
lm_head,672,241.095
lm_head,688,241.234
lm_head,704,241.233
lm_head,720,241.639
lm_head,736,241.649
lm_head,752,241.735
lm_head,768,241.778
lm_head,784,242.545
lm_head,800,242.503
lm_head,816,242.535
lm_head,832,242.632
lm_head,848,242.621
lm_head,864,242.728
lm_head,880,242.909
lm_head,896,242.888
lm_head,912,242.898
lm_head,928,242.888
lm_head,944,243.026
lm_head,960,242.909
lm_head,976,274.216
lm_head,984,274.28
sampler,1,17.286
sampler,2,17.414
sampler,3,17.3393
sampler,4,17.3927
sampler,5,17.3283
sampler,6,17.6373
sampler,7,17.489
sampler,8,17.5747
sampler,9,17.5743
sampler,10,17.574
sampler,11,17.6913
sampler,12,17.6497
sampler,13,17.734
sampler,14,17.6917
sampler,15,17.755
sampler,16,18.7583
sampler,20,20.251
sampler,24,20.442
sampler,28,20.954
sampler,32,22.7133
sampler,36,24.5483
sampler,40,25.7637
sampler,44,27.833
sampler,48,29.0383
sampler,52,30.733
sampler,56,31.349
sampler,60,32.6837
sampler,64,34.4027
sampler,80,40.423
sampler,96,46.722
sampler,112,53.5443
sampler,128,59.9797
sampler,144,66.4703
sampler,160,73.174
sampler,176,79.2797
sampler,192,86.0347
sampler,208,92.737
sampler,224,98.648
sampler,240,104.357
sampler,256,120.004
sampler,272,124.802
sampler,288,129.942
sampler,304,134.455
sampler,320,139.83
sampler,336,145.109
sampler,352,150.678
sampler,368,156.67
sampler,384,162.761
sampler,400,168.423
sampler,416,175.035
sampler,432,180.716
sampler,448,186.944
sampler,464,193.2
sampler,480,198.821
sampler,496,212.131
sampler,512,217.28
sampler,528,222.548
sampler,544,227.823
sampler,560,231.681
sampler,576,237.362
sampler,592,243.618
sampler,608,248.991
sampler,624,254.853
sampler,640,261.026
sampler,656,266.664
sampler,672,273.103
sampler,688,278.774
sampler,704,284.956
sampler,720,291
sampler,736,296.896
sampler,752,308.487
sampler,768,313.166
sampler,784,319.147
sampler,800,323.645
sampler,816,328.751
sampler,832,333.814
sampler,848,339.764
sampler,864,345.712
sampler,880,351.534
sampler,896,357.972
sampler,912,363.965
sampler,928,369.711
sampler,944,375.895
sampler,960,381.802
sampler,976,387.859
sampler,984,391.164
