pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0514,4
0,n<=128,sr<=15%,kvB<=2k,kp=0,0.0421,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0454,2
0,n<=128,sr<=40%,kvB<=2k,kp=0,-0.0452,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0029,8
0,n<=128,sr<=5%,kvB<=2k,kp=0,0.0219,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.1178,2
0,n<=128,sr<=70%,kvB<=2k,kp=0,-0.1434,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0312,4
0,n<=128,sr>70%,kvB<=2k,kp=0,-0.2073,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.9269,4
0,n<=16,sr<=15%,kvB<=2k,kp=0,0.9607,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.9141,4
0,n<=16,sr<=40%,kvB<=2k,kp=0,0.9556,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.8817,2
0,n<=16,sr<=70%,kvB<=2k,kp=0,0.9488,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.9231,4
0,n<=16,sr>70%,kvB<=2k,kp=0,0.9691,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9937,2
0,n<=2,sr<=70%,kvB<=2k,kp=0,0.9992,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0755,4
0,n<=256,sr<=15%,kvB<=2k,kp=0,0.0401,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0974,2
0,n<=256,sr<=40%,kvB<=2k,kp=0,-0.0223,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0004,8
0,n<=256,sr<=5%,kvB<=2k,kp=0,0.0029,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.013,2
0,n<=256,sr<=70%,kvB<=2k,kp=0,-0.0532,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1963,4
0,n<=256,sr>70%,kvB<=2k,kp=0,0.0187,2
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.4488,6
0,n<=32,sr<=15%,kvB<=2k,kp=0,0.4326,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.3636,2
0,n<=32,sr<=40%,kvB<=2k,kp=0,0.3062,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.451,2
0,n<=32,sr<=5%,kvB<=2k,kp=0,0.4585,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0115,2
0,n<=32,sr<=70%,kvB<=2k,kp=0,-0.0013,1
0,n<=32,sr>70%,kvB<=1k,kp=0,0.9157,4
